LimbicB-ContA	LimbicB-ContB	LimbicB-ContC	LimbicB-DefaultA	LimbicB-DefaultB	LimbicB-DefaultC	LimbicB-DorsAttnA	LimbicB-DorsAttnB	LimbicB-LimbicA	LimbicB-SalVentAttnA	LimbicB-SalVentAttnB	LimbicB-SomMotA	LimbicB-SomMotB	LimbicB-TempPar	LimbicB-VisCent	LimbicB-VisPeri
2.20708	0.887479	10.763806	6.34289	1.624107	0.537082	3.334358	2.443233	10.866025	5.77217	4.857468	1.339658	0.113102	2.999461	0.883864	0.3384
3.785728	0.255055	4.579145	8.174094	6.031633	1.778365	7.387648	0.616306	2.92704	3.592417	15.048453	0.213217	1.523496	2.352212	3.475719	4.145587
8.782156	0.594865	5.267136	1.20006	4.425716	6.093188	0.689871	2.199185	15.987001	3.790243	11.935779	5.902486	1.10257	0.900062	1.102322	2.214532
2.75993	2.005749	1.670844	0.209793	1.868783	1.753834	0.039821	0.909529	4.375093	6.059697	6.837946	2.480177	0.820029	1.507454	0.663907	1.906591
6.726396	0.406075	5.335037	1.941855	4.471094	0.37782	1.118132	0.086957	14.271748	1.360542	5.161754	3.77152	0.474444	0.543189	0.33963	6.994359
1.866039	3.289773	2.414547	2.357457	2.193631	1.799421	1.482252	2.858699	4.128864	4.859398	6.131378	2.122146	1.152302	1.202637	3.06484	2.44553
1.715801	0.607574	1.32765	19.509602	3.303711	0.321128	0.806485	1.104872	3.834929	0.489651	1.202553	1.155021	2.515547	1.693783	2.538987	5.495587
0.100932	1.176504	1.091234	4.259088	5.886004	6.487052	4.023971	1.155535	0.0177	2.481409	1.642437	6.456188	0.078803	5.874163	2.795752	6.433232
0.245301	0.099693	0.574938	7.77652	5.972001	0.222616	2.772111	0.000284	4.90866	1.067801	11.9128	1.991667	0.003113	0.322146	0.587996	4.029803
5.447044	0.974401	7.591219	7.649289	6.140168	1.565135	1.663134	4.26866	25.566678	0.549416	28.397674	4.438546	4.353767	0.05349	1.372443	4.547858
3.540987	2.617696	11.963881	13.334004	6.695309	1.295875	3.318793	1.696374	10.072996	10.623431	15.552475	2.795884	4.994928	0.299676	1.05135	0.969339
0.378481	1.348866	0.397617	0.352666	3.374527	5.114617	4.677739	1.40167	0.3609	3.281121	0.40809	2.387806	0.552169	1.560493	5.746562	2.056305
1.589611	3.629899	2.895402	0.416931	1.819626	9.75867	0.99665	5.253185	4.442932	12.029691	10.729178	1.611894	2.054077	4.936247	2.335247	3.899432
7.215616	10.52186	2.44931	0.738913	5.587774	1.147395	1.652699	2.993062	16.022853	2.179145	9.093515	1.035987	1.106651	1.724467	0.205919	3.659249
3.907346	0.995933	1.960358	4.688648	1.144181	2.924018	0.942564	1.436377	12.897315	0.217817	2.340356	7.478416	0.005072	2.945048	2.105065	0.577177
0.592771	0.407775	1.315034	1.221748	0.49052	3.462084	3.308204	1.947225	0.689375	0.017079	1.405	5.004262	1.273381	2.713053	0.030272	4.899097
