VisCent-ContA	VisCent-ContB	VisCent-ContC	VisCent-DefaultA	VisCent-DefaultB	VisCent-DefaultC	VisCent-DorsAttnA	VisCent-DorsAttnB	VisCent-LimbicA	VisCent-LimbicB	VisCent-SalVentAttnA	VisCent-SalVentAttnB	VisCent-SomMotA	VisCent-SomMotB	VisCent-TempPar	VisCent-VisPeri
1.939975	3.177729	3.371121	2.6344	0.422968	11.699035	12.83222	1.180229	1.425759	0.492478	4.400182	0.817723	9.680845	3.857174	0.765437	6.21806
5.119846	3.684407	3.682833	1.338351	4.536175	2.619152	1.095742	10.466057	3.302455	7.428276	0.835393	7.698805	0.175203	3.348519	1.271059	0.387214
0.045196	0.186759	1.397648	0.549669	1.850401	2.22297	3.375883	1.08531	0.193915	2.687777	3.3843	0.006708	0.26045	0.424348	4.858913	0.103676
10.377723	6.832189	3.926643	2.92161	4.13991	1.403897	2.458184	11.798001	4.704413	4.362969	0.948737	1.385908	1.991371	5.210192	5.665725	1.396068
5.292134	1.406829	8.314119	2.31987	0.824087	0.011686	0.119881	0.181389	3.6265	3.357966	0.603264	1.470923	6.155967	0.00741	1.762361	1.488625
1.279492	1.038532	0.221422	2.225735	1.354382	2.655909	1.069165	6.724329	0.37888	1.259736	4.1765	1.723788	3.103079	0.265129	3.237385	1.312416
7.675636	0.767564	3.120682	5.17609	4.590035	2.088047	0.457529	1.440612	2.746992	4.513939	0.700578	9.797259	14.092555	12.399332	5.04758	8.671147
2.346153	2.034513	3.387323	5.860041	15.099817	6.475335	2.804081	0.865846	5.337544	6.224948	2.648597	1.535705	1.124798	3.514139	3.597477	6.363489
0.577039	3.95125	4.66353	1.889651	2.075547	1.933593	0.087012	7.480231	0.744504	1.002376	2.014871	1.526046	2.206306	2.299533	1.736633	1.607283
2.759586	2.595805	2.507005	5.077752	5.821292	6.2922	1.301612	1.894674	0.57921	1.773251	1.655524	0.769188	0.888646	4.77809	3.46898	5.400589
10.431978	5.517619	4.85427	3.285229	5.409327	5.082497	0.310221	5.307139	8.679203	1.825956	2.368448	1.603619	1.588155	1.710403	3.157687	0.147125
2.228219	1.489351	3.087075	2.969129	1.790777	0.784693	0.130758	3.834173	0.346037	0.948112	0.186746	0.261169	1.31784	1.232583	3.155275	0.272439
1.997937	5.832889	6.120139	0.815042	0.989791	1.179577	11.692247	2.957868	1.285519	5.824378	0.43697	3.310322	3.623491	6.337429	2.919065	0.16384
0.269197	0.963638	0.318547	0.679526	2.386773	1.18501	0.847474	1.321604	0.014476	0.143777	1.101759	0.289669	2.653511	7.481914	4.412894	0.535413
0.540223	1.573295	0.861168	0.114263	2.316671	3.182126	2.405514	0.651581	0.162088	0.014286	0.985479	1.771899	3.145406	0.298243	1.150128	0.652757
12.429801	7.905929	3.619118	4.636447	10.130546	7.352921	0.79627	2.952953	11.018828	4.014316	0.837075	4.003449	10.842899	5.741452	2.873982	7.663796
0.017026	1.382864	0.490647	0.147833	0.596226	3.525524	1.258313	0.600082	0.122602	1.510447	1.196919	0.097868	0.191755	0.464082	2.687712	2.012568
4.054976	1.130327	1.510004	0.975933	0.820184	0.707966	0.007139	0.740662	5.18848	1.152179	1.731574	1.784885	1.770727	4.03107	1.63273	0.166291
0.150006	0.14395	0.475361	0.156781	0.160469	0.115226	3.955947	2.610915	2.677737	1.295703	2.153122	0.788322	1.711707	0.059534	0.163951	0.263918
1.8139	0.122197	7.91727	0.344919	1.16009	0.836664	1.038357	3.677361	0.556268	1.838681	1.488536	2.557564	5.679099	3.640685	1.364325	2.887295
0.26815	1.702889	2.018028	1.455747	0.170328	9.250196	0.79645	8.222207	0.06164	0.163491	0.677907	0.210748	1.544548	1.175875	2.97095	1.957338
26.382555	5.4494	1.329358	1.231131	2.265933	3.822932	4.007196	2.053138	9.847957	0.305304	0.957307	4.394755	9.549423	6.359895	2.747281	5.959455
