SalVentAttnA-ContA	SalVentAttnA-ContB	SalVentAttnA-ContC	SalVentAttnA-DefaultA	SalVentAttnA-DefaultB	SalVentAttnA-DefaultC	SalVentAttnA-DorsAttnA	SalVentAttnA-DorsAttnB	SalVentAttnA-LimbicA	SalVentAttnA-LimbicB	SalVentAttnA-SalVentAttnB	SalVentAttnA-SomMotA	SalVentAttnA-SomMotB	SalVentAttnA-TempPar	SalVentAttnA-VisCent	SalVentAttnA-VisPeri
0.116999	4.082898	4.621621	8.854026	5.537679	2.803686	8.46258	3.45179	0.699825	0.028331	0.384499	0.568108	0.686447	4.160057	1.09985	0.67325
1.701477	1.284538	2.701788	0.128069	1.499317	0.056204	3.374808	17.762301	2.878771	2.953879	1.176233	2.417148	2.974933	0.060236	4.119134	1.524952
1.520824	0.567836	0.427705	1.156792	0.155102	2.124932	0.297921	2.646845	2.382255	0.594464	0.82332	7.45923	2.707636	2.315103	4.019798	0.167523
0.638747	0.205279	1.696282	0.292377	0.751847	0.380399	1.857267	0.327636	0.368189	1.878859	0.413537	0.230742	0.039052	0.366039	0.650959	0.304666
6.915125	7.320837	2.335874	4.268422	5.5752	1.271422	0.011772	3.258035	7.293686	5.118159	1.788523	1.19003	0.193863	0.117099	4.306888	5.088624
3.084895	0.467269	0.074011	0.145007	1.252812	0.427511	3.552944	9.508891	4.28361	1.139613	1.019967	0.323784	0.536494	1.605982	0.327937	0.751516
2.756958	0.339247	1.516537	2.084318	4.412395	1.586919	2.241457	0.633795	3.40193	5.016474	0.61188	0.634038	6.147054	5.220343	0.867688	0.83682
0.348526	0.923618	0.540257	0.107612	1.251546	2.680634	0.317207	0.476516	1.395093	1.978563	4.708983	4.910573	0.815943	0.187205	3.000445	3.721851
1.713748	0.421487	8.034096	4.538385	1.530158	0.420256	0.808435	0.289474	1.650567	4.658951	2.27397	2.093395	2.123596	0.759106	2.19048	0.52831
3.647784	0.645309	2.165129	3.777829	1.11746	1.16563	1.465616	1.112821	7.484923	6.634962	4.995183	1.376081	1.121469	0.054053	0.222728	5.298672
2.229008	0.215653	0.747895	0.779052	1.340181	3.663568	0.04223	1.503155	2.227643	3.816982	0.930972	5.027372	0.483402	0.754728	0.077047	6.820856
0.949642	2.035882	1.60766	1.081477	1.515038	0.455355	0.378803	0.376285	0.508367	0.199129	3.153434	0.502386	0.190419	0.958261	4.54533	0.15564
6.257311	3.76991	1.116441	0.881655	0.723445	0.757089	0.815262	0.392869	1.388029	0.798837	1.690732	0.701986	0.294033	0.035236	2.147093	0.214284
2.491701	3.705277	0.115287	0.954652	1.039015	0.14677	0.758065	2.139571	3.157562	1.851239	2.186805	4.49407	0.769883	1.762409	0.252834	4.954341
1.672246	0.245637	1.338236	1.773451	1.85963	0.529019	4.702003	1.162751	1.432495	1.572421	1.542452	1.211013	6.442167	0.247102	1.592114	0.645949
1.799104	0.382494	0.475817	1.092737	2.121289	2.623898	0.299024	3.55056	0.598933	0.586882	0.660056	0.565221	0.5729	6.15528	1.220194	1.213461
0.144745	2.944572	2.869821	5.627126	7.424887	8.951595	1.767749	3.123067	1.324436	2.077098	1.384529	1.100589	1.037445	8.526972	2.092666	1.521282
0.158577	5.552425	0.409834	0.895474	0.147865	1.852878	2.657045	0.63603	0.710919	2.271022	4.356393	0.75814	1.13496	5.971931	1.487216	1.246238
0.385237	1.317367	0.110147	0.539406	1.604849	0.418527	0.501989	2.812243	0.086535	0.855908	3.669149	1.577853	3.153695	0.043678	0.421416	0.589742
2.554695	0.341523	4.110524	1.959948	0.348193	1.977125	1.370739	0.135212	3.655661	3.637819	1.249081	1.059624	0.552872	0.093769	0.920783	2.674283
1.96775	0.553819	4.298909	4.327354	1.543014	0.43475	0.90068	0.183281	1.90633	1.717034	0.046348	1.264804	3.190418	0.018989	1.791859	5.11337
0.443027	1.204773	2.446859	0.943148	1.292597	0.397815	2.140548	0.49358	1.596508	2.075697	0.49002	0.740078	2.379487	0.966244	1.882518	1.528607
0.604645	3.07725	0.548426	0.085873	2.101463	0.966094	0.351848	0.677764	1.187204	4.299429	3.438644	4.473519	1.328682	1.216712	0.175889	0.287736
1.392743	4.20964	0.790089	0.328337	1.308895	0.812782	0.324057	4.443462	0.795915	1.478046	2.046041	3.890262	1.518822	0.318806	2.143603	2.701022
3.838905	13.66598	1.750636	3.449194	9.031584	4.309166	3.574775	0.030715	1.933373	1.590027	3.328486	2.584076	0.703218	7.079375	4.708959	1.385986
2.159786	0.523946	0.151783	0.102386	0.13201	0.449557	0.507676	6.25309	3.308194	2.323546	0.382901	4.525212	4.449766	0.838607	2.927901	1.953568
7.279517	6.736802	1.110646	1.23905	3.006984	0.267971	4.904943	8.169304	4.888768	0.760428	0.57416	4.860271	4.085761	4.701493	14.72942	4.214691
2.557426	2.136504	2.836952	3.059372	1.210613	2.07618	0.222968	0.295262	1.303417	4.397947	0.521962	0.929836	0.053366	0.429666	0.10518	0.673075
2.087907	2.728253	12.009534	13.394297	13.048093	2.054565	1.994494	2.82851	1.553264	3.171582	3.036073	1.582055	0.621556	1.029408	1.647437	0.740777
2.531561	2.961335	0.390582	1.803322	1.558575	1.278314	1.169383	0.638637	0.470535	1.036687	1.204233	0.031555	1.508176	1.187488	1.03842	0.712668
6.880648	1.102579	0.196463	0.808169	2.009169	1.313075	3.037759	0.131237	3.172863	2.107876	0.981904	0.168104	1.312121	1.901678	0.567511	0.634511
1.720943	0.531557	1.547261	1.402137	1.284861	2.199704	2.900483	1.507916	0.640471	2.637149	0.641321	0.056437	3.291131	0.401532	0.497239	3.466498
3.433356	4.597415	0.994693	2.1735	2.62399	0.129036	0.492292	7.975693	5.583658	3.138838	3.641158	7.418768	0.729812	4.512553	0.810437	2.733501
0.676562	0.080792	0.048712	2.738704	0.807145	0.496322	3.907481	0.489669	1.682436	3.96752	6.337842	0.202786	2.913845	1.056573	2.290471	0.947728
0.05287	0.128311	0.860755	2.349532	2.012883	4.717518	0.65744	2.097022	2.332799	2.213615	4.911071	1.030891	0.29631	0.830324	1.55547	1.541055
5.940285	0.45812	0.497977	1.61346	0.580886	1.131232	0.105738	0.018676	5.613486	6.677191	6.010594	2.504687	1.641634	0.01598	1.391681	3.520098
1.046369	0.018174	0.198316	1.639898	1.709987	2.075922	0.158473	0.512171	0.517453	1.607372	1.553538	0.662334	0.792627	0.101602	0.216716	0.214079
1.991483	0.933352	3.515858	2.515818	0.246094	2.240303	1.998748	0.966194	0.154721	2.54679	1.815059	1.194647	4.831995	1.55633	2.24102	1.284312
1.5818	0.719091	1.598312	0.231381	0.284276	0.163214	4.064379	5.780705	3.286239	2.001289	0.425947	0.433001	0.983922	0.852625	0.579893	0.785187
0.621104	0.269853	0.934724	3.417882	1.715608	0.064112	3.222592	0.125306	2.472629	0.667551	0.551702	1.610183	1.570539	0.372631	0.644482	0.405131
0.083264	0.837033	0.060097	0.553599	0.309213	0.490648	3.481033	2.448206	0.13514	2.817649	0.275168	1.122049	1.496444	6.236088	0.120892	0.060302
0.855696	2.364815	0.333618	1.020182	0.107954	0.632654	1.849171	7.054943	1.2714	4.763826	4.272799	0.940987	1.528969	0.333024	2.245037	0.023928
2.196011	0.085618	1.891482	5.36676	6.243309	1.961303	0.782746	6.336098	0.231811	3.359063	0.639623	0.155961	0.741397	0.20165	0.228754	1.529749
2.911639	1.047456	4.213614	3.0069	3.685013	0.778325	4.49005	0.255686	0.414585	1.011423	1.420694	0.859658	0.932444	2.720792	4.876029	0.805303
1.611108	0.216563	0.355465	0.489607	0.004272	1.553961	0.123991	0.481969	3.993701	1.498405	1.9852	1.39516	0.5536	0.006774	1.191893	4.287481
0.230724	5.999788	1.009511	0.816498	1.841817	0.093093	1.349921	0.919134	1.495234	0.917075	2.835418	4.500665	0.571374	2.306252	0.485875	2.786446
0.542563	2.823105	5.606689	8.83975	0.764311	0.696334	1.240733	5.972373	5.690689	19.297564	7.556631	1.555141	1.479096	2.779219	10.95669	1.787055
1.286846	1.909595	0.013519	1.76858	0.534969	1.598038	3.197358	1.056551	0.702042	1.985709	0.568585	2.586313	1.145263	0.610746	0.681673	1.372211
0.642811	1.009628	0.220024	0.205489	1.660347	0.316509	1.809051	2.043642	0.427496	0.510079	0.807033	2.921328	1.04648	0.837144	2.102993	3.876007
4.909207	0.368295	3.6855	4.846066	3.778059	3.842329	0.267921	0.118218	1.267531	2.740918	1.982135	0.088371	0.128849	4.27571	0.161565	0.136959
1.010858	3.509572	3.291773	0.648124	0.018321	1.639854	2.429891	2.523044	2.315294	5.386802	7.059583	3.600593	7.853601	0.854057	5.238493	2.647345
0.886072	2.021633	2.368358	2.416796	6.260176	1.902217	0.009001	3.495138	2.341001	1.136955	1.535919	5.017146	0.589562	1.231545	2.019889	7.226954
1.009648	1.028414	0.676627	0.044799	0.215434	0.25367	0.262651	0.16203	0.428754	0.007792	0.082855	1.951347	0.140767	0.323811	0.467431	0.526435
5.480804	9.449353	1.786396	1.706135	5.277627	0.319472	5.501313	4.48561	4.266426	4.14267	1.62663	2.829245	6.932519	2.494769	5.338487	6.344285
0.258667	1.064794	2.701066	8.051973	4.657044	4.851826	0.279827	2.376399	2.075284	4.12066	2.647083	0.853945	0.885009	6.933987	1.212145	0.313899
2.480765	0.89357	3.311795	5.810788	3.271308	4.915142	4.634724	0.781016	7.458557	9.606626	4.910375	1.96769	2.018651	1.416983	0.707967	1.863921
0.166913	1.319486	0.091789	0.174435	3.661419	2.533344	2.198289	5.600759	0.908864	1.771425	2.262468	4.633597	1.747524	0.232791	0.262349	4.991832
1.219166	1.299454	0.872994	2.595478	0.414516	1.171732	0.031003	5.721071	0.9178	0.114171	2.034172	0.395202	2.720106	3.037931	0.714758	0.99522
0.582132	0.746531	0.331235	1.955865	0.600575	3.730685	0.103682	3.017055	0.946327	2.875991	1.500256	2.57479	4.74926	0.608681	1.327458	5.611079
0.166905	1.002473	2.767878	4.584152	5.204512	0.811675	0.593203	0.049434	1.929278	4.780749	3.428361	0.280292	0.242215	0.286436	0.847561	0.377681
0.596866	0.121132	10.857807	11.047179	1.280255	1.71294	0.119759	1.363614	2.469881	2.726832	2.949265	4.16393	1.013698	2.704092	1.230977	2.425049
0.296868	1.244173	0.199487	0.012343	0.136304	1.42533	0.188359	2.312168	2.321027	0.718805	0.742855	1.925504	2.311039	0.729752	5.650346	3.03073
1.088616	0.179529	3.997588	0.781824	2.239884	2.495674	0.745859	1.94396	0.220981	1.58265	1.48172	0.526985	0.3164	3.10889	8.411606	0.244783
0.15762	0.877023	4.007029	1.625751	2.611502	1.481366	1.481069	0.030491	0.311417	1.081648	1.312147	4.898852	0.760734	2.229911	0.676262	2.489067
0.94544	1.624822	6.249392	5.262693	7.556656	3.698807	2.124988	6.354125	2.213914	1.245474	2.993723	0.219733	1.427022	6.391496	0.428905	1.568147
0.860287	0.711522	4.643904	0.480547	0.219811	1.714138	0.513928	1.224125	2.683619	9.111476	3.529907	2.265861	4.927296	0.293164	1.832995	0.004664
5.813024	0.160834	1.170191	0.523199	0.073056	0.485003	1.161618	0.136122	4.632877	3.008948	1.807884	1.356458	0.813179	5.606598	0.289264	0.708675
3.319481	5.475988	1.729693	0.435093	0.392149	2.899807	4.919495	1.142208	5.734664	0.90343	1.475	1.99349	0.468176	3.754951	0.408691	1.304997
0.178421	0.668896	2.07439	0.184217	0.025593	1.594298	5.382217	1.920922	0.713507	2.161786	0.522802	0.656594	0.25942	0.817863	0.437696	0.834934
10.320762	3.640141	3.681285	7.43722	1.498409	2.962477	1.59065	2.939679	11.227925	10.217738	7.02004	1.695336	4.743661	1.127171	2.805428	2.231231
4.264518	0.731865	0.392565	1.521192	0.506055	0.250264	1.895792	4.331581	1.780583	1.546517	2.329162	2.502383	1.863393	0.776821	0.384274	3.895366
0.308532	0.471646	4.411293	2.600182	0.378776	1.572471	1.851683	1.886751	0.07659	2.769521	3.166783	0.074536	0.404782	0.717831	0.989452	0.075108
0.090284	0.248631	0.062689	0.0145	0.421038	1.09528	1.019284	0.099642	0.500631	0.235316	0.44007	2.284576	0.00366	1.062444	3.713658	0.282194
0.439134	0.368373	2.756852	3.514206	2.489675	1.088249	0.29472	0.223834	0.211462	5.245198	2.546172	2.1701	0.768076	1.198005	1.161215	3.01108
0.118942	0.65773	0.385641	2.189358	0.591552	1.611085	1.68216	1.256278	0.064	1.645771	1.804109	0.320847	1.757068	4.33212	0.5081	1.146188
1.557684	3.028448	0.982905	0.71024	0.967166	3.044617	0.152699	0.850072	2.189587	2.125644	0.96733	1.8223	0.021483	5.787661	1.119584	0.15184
0.154975	0.595622	0.411184	0.949366	0.827667	0.212518	1.609878	1.439899	3.481528	0.741322	2.645372	2.742724	3.84842	0.283924	1.358165	2.454576
