VisPeri-ContA	VisPeri-ContB	VisPeri-ContC	VisPeri-DefaultA	VisPeri-DefaultB	VisPeri-DefaultC	VisPeri-DorsAttnA	VisPeri-DorsAttnB	VisPeri-LimbicA	VisPeri-LimbicB	VisPeri-SalVentAttnA	VisPeri-SalVentAttnB	VisPeri-SomMotA	VisPeri-SomMotB	VisPeri-TempPar	VisPeri-VisCent
4.556879	12.205635	2.76561	2.120204	4.6374	0.36915	3.425566	2.841112	4.783817	6.40079	2.551896	1.155901	2.73466	0.194108	2.015203	2.639762
1.997891	3.601212	5.964223	8.375213	6.02266	2.597443	0.452953	0.442417	9.050541	12.976793	0.532997	5.06619	9.932592	2.161229	1.024157	1.987717
3.495171	11.559032	0.845586	1.213907	11.198204	7.689573	0.139238	0.178141	4.260644	2.476627	0.876334	1.970189	22.039194	2.213306	2.079865	5.50893
15.845608	40.277133	12.873096	15.475978	13.164297	7.563088	5.401843	5.595777	23.282041	17.571534	6.153303	13.619745	16.309366	3.306174	2.96185	0.332174
3.450869	2.842738	0.39116	0.241814	3.430032	1.203251	1.267013	1.362571	5.2649	6.912799	1.220677	3.140335	5.992024	0.599346	0.222181	2.602321
15.380143	6.772751	3.361136	1.091959	8.764529	5.840368	1.859977	3.903736	7.542571	12.847476	0.328227	13.435747	25.114635	0.759706	15.750608	4.537773
5.223378	2.876568	1.054899	0.265748	1.095068	4.114176	2.663797	0.852796	8.46304	6.337226	1.924372	6.052573	0.257532	1.257671	1.951531	6.986156
6.148944	2.634503	1.291049	1.538174	5.185104	4.260478	0.901794	3.120729	17.845402	8.273101	0.390208	12.622153	5.017667	1.704931	0.528324	2.744342
15.138764	13.660244	6.05733	18.107916	11.156207	2.296905	0.951985	1.994575	22.582898	23.330807	2.939071	10.183309	12.634705	0.304261	2.999468	0.407506
1.413142	2.278338	0.306383	2.718728	2.521492	4.318026	3.07278	2.219145	2.184738	7.77266	7.386208	12.092229	3.154018	0.07014	0.425967	5.868966
5.406668	1.706627	1.816664	0.977984	2.064166	0.056111	3.91935	4.236469	3.251243	1.139714	0.156642	1.983244	12.033071	2.1548	0.044796	9.60287
0.562563	3.857085	5.960191	8.400726	4.105272	8.34433	4.553883	4.359535	0.594372	0.55814	2.692493	0.11006	19.092362	6.462848	4.473538	14.303066
2.269765	2.296947	1.302884	1.086474	2.532341	3.381211	2.64083	2.017039	2.824036	3.078967	5.213962	2.223462	2.887305	0.2241	0.006474	2.445957
