TempPar-ContA	TempPar-ContB	TempPar-ContC	TempPar-DefaultA	TempPar-DefaultB	TempPar-DefaultC	TempPar-DorsAttnA	TempPar-DorsAttnB	TempPar-LimbicA	TempPar-LimbicB	TempPar-SalVentAttnA	TempPar-SalVentAttnB	TempPar-SomMotA	TempPar-SomMotB	TempPar-VisCent	TempPar-VisPeri
2.200596	4.684858	3.340533	4.742603	1.154704	2.153998	1.534704	0.369171	1.504974	1.052698	2.785241	1.671903	3.574098	0.123894	2.463715	2.955619
1.611948	1.259005	0.110876	0.658561	0.166425	0.14084	1.734064	2.809083	0.626639	3.656434	0.522386	0.177589	2.831392	0.082613	0.638495	6.184842
0.177769	1.356714	0.39456	1.377307	5.025943	5.083862	1.512728	5.976455	0.689144	0.65136	3.488819	2.678751	6.064085	8.518595	0.794854	4.204458
0.336752	1.999965	0.040881	0.062216	6.63941	1.407579	0.765912	0.210835	0.398427	0.330996	3.276377	1.152833	0.109629	0.615809	0.388231	0.832551
8.501583	2.132806	1.446769	6.57325	4.761717	6.106622	1.802566	2.648862	7.680398	1.230581	4.83459	4.357761	0.040921	2.02314	0.831284	0.355129
16.278538	1.214757	25.489988	46.999054	31.478427	8.479833	10.303664	9.497622	11.916092	12.417829	0.748986	10.461536	11.592248	2.77384	1.589773	8.376195
2.952225	3.519387	1.409453	0.30643	1.858693	4.37711	3.508071	5.79662	0.505137	2.945197	4.634311	2.721943	3.171129	9.501097	5.601178	0.637576
0.788906	13.066129	10.932574	6.018647	1.992062	3.210785	14.377283	5.759738	2.918632	5.793681	9.789032	8.421192	6.611144	2.24504	2.240502	4.501009
0.063212	2.368467	0.860685	0.513695	2.079593	5.769534	0.85581	0.57339	0.165258	1.442157	2.412845	0.280058	0.028411	0.470718	3.293479	1.556652
3.091354	0.034307	2.289631	4.466766	3.234231	0.538125	1.293832	0.98653	1.511124	2.400235	0.992796	4.382073	0.380828	3.568888	0.620835	2.800926
1.426729	1.416214	0.052559	3.016684	3.128589	1.379476	7.133943	4.349227	0.364963	0.192066	2.611781	0.529774	2.386888	5.307394	1.468565	2.239013
0.970947	0.061569	0.166912	1.878227	1.017904	1.973734	6.550615	3.016285	1.584931	1.168613	6.015073	0.313491	6.256615	5.458225	1.902624	3.878283
0.153654	0.260593	1.622673	2.39299	0.110056	1.802012	5.920511	1.249051	0.173919	0.550105	0.351631	0.516495	2.205924	0.853237	7.151001	5.389354
2.171377	4.223477	1.455493	2.390422	3.096514	8.284172	1.111436	3.69213	0.782504	0.238768	1.336274	0.185172	6.028061	0.455407	5.330191	4.678208
0.72209	2.719098	11.071547	7.492733	11.920565	5.797785	12.284336	3.240591	0.125577	0.852226	4.791528	3.285371	4.137956	8.090975	6.050569	2.533687
5.564642	2.797768	0.746208	0.802598	0.142785	2.346458	1.211702	6.830024	2.030013	3.68455	3.102349	1.947003	2.233978	2.978564	0.089999	0.768158
13.564066	0.504128	1.619616	4.268585	3.344175	0.68345	10.904999	8.716744	13.904647	7.990306	21.188057	6.795293	4.96603	13.240121	4.159074	1.322809
9.772417	11.100223	11.661787	13.990819	11.803942	4.860237	6.66575	10.515854	15.830757	11.42169	8.221205	7.490209	4.080102	1.29682	12.330326	0.938631
0.256526	0.698567	0.697217	0.445911	2.295183	2.896117	0.071164	0.31774	2.136352	0.693157	0.758818	0.939075	0.090078	0.55373	2.189419	0.33642
0.721592	1.638387	0.237586	0.061901	8.070129	0.294976	3.710564	5.011607	0.337348	0.368955	7.727385	0.408719	1.498823	17.074277	1.375142	0.361067
6.024525	1.404113	1.942159	4.441788	0.704554	2.726516	1.733307	2.366179	19.474063	1.419253	2.065247	7.56095	4.093754	5.205767	9.486041	1.081183
