DorsAttnB-ContA	DorsAttnB-ContB	DorsAttnB-ContC	DorsAttnB-DefaultA	DorsAttnB-DefaultB	DorsAttnB-DefaultC	DorsAttnB-DorsAttnA	DorsAttnB-LimbicA	DorsAttnB-LimbicB	DorsAttnB-SalVentAttnA	DorsAttnB-SalVentAttnB	DorsAttnB-SomMotA	DorsAttnB-SomMotB	DorsAttnB-TempPar	DorsAttnB-VisCent	DorsAttnB-VisPeri
4.065067	3.207194	0.626138	2.454175	0.415319	0.246144	6.396158	7.560491	0.614033	4.222965	0.116169	1.456856	1.037528	2.541501	0.349148	0.063716
2.272756	3.675804	11.439717	0.655974	0.478085	1.114276	3.835856	0.38666	4.144913	2.760503	2.358593	1.425936	10.418276	3.149728	1.192619	0.190153
1.305339	4.962827	3.181479	2.855417	4.797541	7.433161	0.441617	4.849724	3.181129	0.84881	0.361212	3.194959	3.358371	0.701484	4.171296	3.633732
0.878668	0.932732	2.20436	0.737606	1.868045	0.942621	6.803768	2.477304	0.009718	5.178964	0.309996	0.265354	0.863363	0.713645	0.447692	0.251406
1.659507	4.334734	0.295696	1.140261	1.850517	0.387491	0.108202	2.368383	0.235593	6.51519	1.85335	5.482244	2.20753	4.662259	1.405489	8.887767
1.484318	3.039658	2.214521	0.822338	1.70245	1.500424	0.854417	0.181923	3.984313	4.900714	1.165955	0.960395	4.540377	0.610738	1.596311	0.359998
0.059219	3.191367	2.517504	0.62073	0.604045	3.017503	6.396712	0.044534	0.093418	0.408697	0.619165	0.804821	0.512632	0.348809	1.450862	1.21668
5.868281	2.786264	1.303945	0.571163	0.523704	0.1003	0.436004	2.546562	0.812166	0.258043	1.520818	1.240277	1.566332	2.00604	3.62705	2.349433
3.130319	0.424261	0.646613	0.187902	1.978122	0.842344	0.85015	0.232512	1.833637	2.395133	0.163909	1.006884	4.511955	1.440933	1.634245	0.73038
1.332839	0.455998	1.340791	2.214276	0.757233	0.16864	2.110878	2.996024	2.530336	0.164448	2.659459	0.062085	2.134368	0.995576	3.437259	0.176886
0.729486	0.743896	1.536493	0.681513	1.054477	0.260502	4.469638	0.155335	1.558903	0.668211	0.078331	0.479954	3.972087	1.075847	3.885926	0.385909
3.921749	4.992519	2.370343	11.939069	6.784625	0.795341	7.80717	2.4372	4.370004	3.703257	3.258963	6.239256	1.845704	1.373498	3.91283	8.922152
1.291029	0.029399	0.845782	1.277695	0.7451	0.424825	3.495374	1.31165	2.162263	3.356571	0.20849	1.530801	0.011783	1.874399	3.134676	0.412783
0.246899	1.382069	0.612895	0.014233	0.663609	0.499341	0.215074	2.056017	1.049065	0.462309	0.423689	2.531478	1.381906	4.502535	4.846789	0.083771
1.931922	4.246759	5.154183	4.731131	0.162395	0.752931	0.877133	5.405138	0.751478	5.367798	0.421564	2.340888	0.179674	1.249848	1.700399	0.928859
3.161432	4.783812	1.825756	3.184538	1.936037	2.17265	3.945938	1.356878	1.86257	1.727013	0.447735	0.609436	0.635771	11.82811	1.772836	0.639056
1.661978	0.650007	4.585083	11.456013	1.140249	1.60119	3.253861	4.667047	10.064668	2.896937	3.56866	5.416293	5.111101	2.621076	3.364969	0.486032
1.232737	1.598072	0.895677	0.643788	0.617025	6.995874	10.557446	3.43581	5.019425	3.070303	7.634575	6.741641	3.366643	2.815146	7.269702	10.9331
6.766825	3.249166	0.687727	0.382471	0.021154	0.097068	0.711396	6.501396	3.348611	3.314365	1.297261	3.661216	0.495309	2.051034	1.107549	3.669778
1.235031	1.657823	3.529712	3.066839	2.423095	2.809649	0.484902	1.491208	5.990091	0.999001	4.780378	4.236039	10.396733	1.385721	0.16309	0.597896
2.183126	4.931099	0.132938	1.03821	0.722844	1.477425	3.451365	3.412962	8.967364	1.32101	5.813084	9.526289	1.450086	1.224649	2.749206	5.668583
3.842524	5.880536	1.861375	1.392857	3.163501	2.297901	0.69572	6.575736	8.679194	5.597197	7.726298	8.339195	10.508899	2.959158	0.36413	3.06209
8.622395	9.763667	3.789873	5.762452	4.752231	2.839357	2.625641	4.813337	4.651717	2.568859	1.061398	12.298678	0.372138	11.002632	7.262763	2.758543
4.317442	2.690866	4.619198	0.121601	0.195262	0.147356	0.835084	2.616287	0.229028	0.715683	0.116166	4.845854	0.514527	0.916629	0.02682	7.250252
1.5918	0.567098	2.832821	3.759233	0.717119	1.252513	0.779112	2.942678	1.839416	1.597391	1.751043	0.229266	1.679567	0.070368	3.137179	0.882578
3.019587	1.265215	1.383677	3.702549	3.069616	2.43461	0.748137	0.926165	0.279109	1.659895	0.676122	1.176785	3.807252	2.885298	1.22904	1.438698
0.159164	4.065467	3.814743	5.267409	4.045246	0.067666	2.095418	1.215772	2.132771	0.247692	2.498098	0.788147	3.617484	1.441739	3.717374	0.323124
6.440387	2.710078	5.025703	2.486561	3.644387	0.316871	0.723275	4.362868	2.445588	3.795802	4.249818	6.359467	1.140814	1.531699	1.826275	5.645017
0.61228	3.2483	5.998653	2.276428	3.479557	1.499809	3.633738	1.8846	3.553354	7.797975	2.793661	3.433187	3.903977	2.375059	3.048852	0.6497
2.733633	0.533475	2.876322	8.490799	2.668563	2.962623	0.496002	7.615743	12.547679	5.981369	8.715131	3.637139	7.487671	2.211098	0.422012	0.986014
7.636203	3.880908	2.041759	1.449452	2.33134	0.660055	1.044818	4.896737	2.208177	1.962863	0.568414	8.189618	1.30187	1.968982	0.808855	0.390487
2.284596	2.674721	0.64083	1.943749	1.867646	1.944848	0.402857	0.755541	0.57157	0.383792	0.238589	1.643524	1.716108	0.236218	0.641817	1.951279
0.908987	1.481921	0.12545	3.140464	3.248585	0.119256	1.281372	3.705126	1.053024	1.172033	0.135974	3.713626	0.08542	1.379415	0.01771	0.69928
7.485862	0.226535	1.212859	3.608533	2.282626	0.462869	4.066706	14.021674	12.538917	21.264611	21.358564	9.401787	0.170155	8.496855	0.197588	5.748826
4.503037	11.569062	10.778692	3.978246	8.652253	8.135906	5.814292	14.76253	7.879903	1.794992	3.83716	4.600097	2.132212	1.797172	15.091965	4.598744
1.632892	0.942593	2.23634	0.395255	0.056681	0.528866	0.154592	0.976902	0.716879	0.745189	0.035916	1.849928	0.730244	0.056685	1.030134	7.142426
0.931383	0.16194	0.511698	0.677872	1.423845	1.216139	9.867031	3.156104	3.53708	9.275342	1.014323	0.912657	0.4526	2.877847	0.532704	0.168674
3.026579	2.634256	0.53922	1.984995	0.160375	2.709039	5.303773	7.679737	4.586547	1.656562	2.642217	3.868672	2.035808	3.770896	2.928185	4.378606
0.191323	1.325364	1.110863	0.589602	0.472307	1.706107	0.243824	0.028707	0.589938	4.845453	1.916128	4.004037	0.755256	3.68987	1.202021	2.1207
2.588051	3.943004	0.01497	2.161741	1.559664	0.657011	6.819671	2.463665	2.908433	4.520744	1.44594	3.65915	2.816427	2.006041	1.265047	4.534281
1.893039	3.205286	5.353611	1.218142	1.153032	0.149241	0.042456	3.944717	0.161183	3.490439	4.917914	0.073568	0.624122	0.793581	2.31726	0.681647
0.823704	0.502295	2.034296	2.408237	0.297977	3.904184	1.777139	1.231976	0.50638	0.209952	0.000862	1.596423	1.175002	1.567048	6.953449	0.61338
1.091437	2.33737	0.908908	0.661516	1.019413	0.042586	2.305548	0.258868	0.225611	11.675484	2.484585	1.414453	1.341637	2.449377	1.173902	2.313922
