SomMotA-ContA	SomMotA-ContB	SomMotA-ContC	SomMotA-DefaultA	SomMotA-DefaultB	SomMotA-DefaultC	SomMotA-DorsAttnA	SomMotA-DorsAttnB	SomMotA-LimbicA	SomMotA-LimbicB	SomMotA-SalVentAttnA	SomMotA-SalVentAttnB	SomMotA-SomMotB	SomMotA-TempPar	SomMotA-VisCent	SomMotA-VisPeri
3.313846	4.107255	4.104892	3.729852	3.127772	7.263805	2.926663	5.963135	0.5403	0.739952	5.032523	0.802192	4.741976	2.350417	6.501243	12.800624
1.186872	7.211339	1.565019	2.911484	3.779534	9.130342	4.404439	4.781933	2.504595	3.231757	5.456303	5.641649	4.774452	0.000103	4.740199	23.818981
5.939143	3.573084	5.853264	7.845501	3.243143	1.170252	0.582781	7.114235	3.464519	8.549209	1.145148	9.890686	1.609568	2.122333	6.165247	7.127845
1.10451	2.929906	6.577773	3.413858	0.391534	6.286051	3.457916	2.087527	0.348076	0.899666	0.908264	0.811728	3.483753	0.532916	10.782892	12.313288
2.246855	10.327176	1.354236	0.198161	0.01752	1.446723	0.493215	0.391338	2.578156	2.844801	0.261405	1.94677	1.588579	6.508257	10.180682	10.644461
12.003105	8.099462	3.851153	7.245105	5.681373	10.454713	0.763943	0.938996	7.889554	5.583535	1.172664	4.741821	2.3261	4.643172	3.892996	5.947489
19.333946	27.382286	9.373533	14.439285	13.114599	0.613866	2.828604	11.276745	34.531159	19.996274	1.759655	16.459044	3.020025	0.896281	2.93318	17.796125
12.51533	17.712486	6.437534	7.187347	21.555994	6.246611	0.092718	8.269127	24.237287	15.246696	4.409789	18.175941	14.271407	3.958644	8.401121	8.221001
4.735136	3.16698	3.11179	3.831007	6.159692	7.728145	6.199983	1.803197	8.199647	4.190042	2.800888	1.78721	10.703189	3.275154	28.056012	7.877298
11.909487	14.045896	4.518084	4.513031	12.198784	4.473989	0.119335	0.210591	7.625499	3.177554	0.884456	1.056317	11.670181	6.034204	11.970334	12.732376
1.138412	8.560177	1.706672	1.05121	0.229712	1.968826	7.636858	6.182931	4.126081	2.412384	6.942948	1.392563	0.511706	0.373948	4.493347	4.984221
2.531912	8.796121	0.629931	1.42533	0.175624	1.01027	0.315624	5.301562	7.315708	13.289237	6.681176	9.356717	1.229525	0.366161	0.660685	3.300156
3.140935	0.460742	1.022952	1.057689	0.664048	0.155704	5.2799	0.835582	2.65847	8.807253	0.420201	10.643179	5.29796	1.007067	6.699138	12.528668
10.498108	5.076354	4.149853	8.744153	11.001826	9.491983	1.977711	6.656	7.443398	3.978554	6.329342	13.359266	5.644746	4.978816	0.567717	7.306272
6.581403	9.184781	1.952979	2.601377	5.185985	10.643348	3.211731	9.643555	5.593072	4.494802	4.995584	9.990329	9.018938	2.183154	1.538083	1.709533
14.771155	7.54919	2.371512	6.408278	8.145231	15.288628	0.966915	7.773299	20.339465	16.276617	1.566646	12.076753	9.981785	0.141177	0.284148	6.924584
7.343011	29.681076	4.681321	1.2883	12.966606	7.781495	0.965646	5.86352	8.260156	9.9174	2.529455	6.848887	4.555921	9.181572	7.65711	6.285197
13.602851	22.291072	4.706969	8.523508	18.9944	12.709867	0.902861	1.538918	11.598664	11.096668	0.538682	8.303122	7.899833	12.887846	2.927004	8.835758
1.468106	0.546515	2.712405	1.881984	1.633674	0.132287	2.166847	1.981523	2.427622	3.201724	1.885792	10.989232	3.827012	0.830237	5.531532	1.448846
3.981557	5.647046	1.024859	2.415911	6.935267	3.964053	5.377991	4.489013	7.229038	13.572671	2.725192	20.457986	9.42749	8.167108	6.686452	3.315329
1.109498	3.314351	1.313031	7.756283	6.071449	8.173074	0.2323	3.90039	1.844701	5.131202	9.163341	3.296141	14.380811	2.801627	1.419127	1.608466
12.358698	4.891026	5.792561	2.236607	4.611975	6.344831	0.953701	4.442981	3.148884	16.859661	14.929218	17.322049	2.929262	0.537543	7.177635	21.097831
13.989463	12.45017	6.263423	11.298599	7.266636	1.554958	1.420536	2.938323	13.394025	16.745162	1.487685	9.836884	9.086478	2.323961	5.061674	8.292296
4.364901	2.019799	0.146703	5.332388	1.911577	0.253793	1.414163	0.986355	3.976417	11.211628	1.512949	7.363555	20.04737	3.182654	8.5977	8.886509
8.044918	4.342873	0.661927	2.994665	8.373049	2.329772	0.502735	3.11254	15.032726	10.806018	0.110536	4.493127	0.443409	0.020696	2.986944	12.417087
2.14827	3.992546	1.23379	3.013163	8.38722	1.096276	1.155454	3.486408	4.059534	5.528524	2.984031	2.861769	6.841939	3.090735	4.219354	8.610901
0.838028	0.586693	2.090406	1.777257	0.712184	2.516217	1.13124	1.139421	0.335486	2.377857	0.845565	0.666499	2.917746	5.083373	1.670574	0.493396
1.604307	3.267244	0.720293	1.408779	2.926331	14.514579	7.17004	3.563023	3.52298	2.470204	2.556495	5.317395	10.69347	15.513438	26.584185	38.346411
12.760651	3.535558	1.246618	1.724107	3.008573	3.801542	2.808598	4.285625	20.627133	14.389225	7.482432	7.852027	1.103468	0.359451	2.71352	5.078627
5.903192	9.483972	6.613314	10.661684	8.895669	0.101712	0.215281	0.157805	9.359606	2.387226	3.474179	8.058302	6.829707	2.207995	7.213974	0.892988
4.40012	10.397115	1.995058	2.028814	8.818147	20.838368	1.215989	3.663011	2.541491	6.642346	5.156427	2.933495	21.368825	21.17703	11.882009	11.415564
1.339288	0.442411	1.439329	4.769633	2.391858	1.563919	0.60536	0.467567	3.859291	4.759971	0.707	4.489308	0.859446	0.446432	4.619011	8.340417
12.525585	7.719617	3.692309	2.626244	4.215323	5.663478	1.905588	0.408514	10.128485	11.276975	1.390651	12.639244	5.042744	2.293078	8.920847	2.013091
1.319881	4.277683	6.938958	1.729512	1.843466	18.046252	0.754079	1.518379	0.406897	1.782999	1.725525	3.008225	0.412901	3.60824	9.402495	11.307341
11.143122	3.093372	1.56652	4.441345	9.58957	18.239353	4.083111	3.830137	9.941183	8.932414	5.280271	2.941401	6.522044	7.980108	6.796429	6.317007
10.56016	17.484906	0.101932	0.663911	0.225018	1.104442	2.624694	11.598065	12.557609	3.760221	0.284153	1.515663	3.15916	1.276664	9.406909	2.391447
0.385872	4.050192	3.038668	1.729987	0.947362	0.259545	0.24349	0.489935	1.23975	4.181125	0.984305	2.997777	0.208044	1.245691	1.041835	1.507783
0.235617	0.365458	0.683781	0.130294	1.03692	1.834946	1.907518	2.168338	0.349313	0.571667	3.591601	3.190458	6.268096	0.090252	6.117739	4.413465
1.491425	0.107469	2.170228	0.046664	0.271353	1.826147	0.418914	0.611829	4.069737	0.709655	3.266021	1.705698	2.690955	5.066014	3.550927	5.125144
5.597287	10.045371	2.144317	2.818149	5.333484	3.933293	6.05314	4.839265	3.211263	7.076063	5.885996	7.388571	4.308361	0.634048	5.605937	5.43625
5.371754	7.115258	2.087968	6.426649	13.552086	4.585137	1.717321	0.303834	5.10775	2.962188	4.49319	3.370181	0.051714	2.81437	5.382319	7.775811
4.866437	3.987311	5.79349	6.240913	3.877621	2.90169	0.646987	3.940575	2.313909	13.897018	0.10236	3.310279	0.455698	2.92558	5.333702	9.557747
20.65048	17.394821	14.82203	11.866684	6.78125	4.932208	1.770581	9.510616	23.456288	22.82819	2.368654	18.82407	1.983962	0.101433	1.801522	2.597217
2.101591	7.086883	1.144246	0.42614	2.43385	11.583997	3.529194	0.567852	4.836146	6.87177	1.880366	1.834809	1.751999	11.427388	3.123005	3.866158
1.509751	1.053441	0.038288	0.23176	1.883512	0.468299	1.015829	0.214004	1.184531	1.014595	1.522973	1.94807	3.670497	5.083602	18.181034	9.377619
7.369635	12.521892	0.605569	1.537041	4.462468	3.385251	7.921794	7.868262	5.019846	7.954296	3.169725	10.424089	1.650816	0.405799	7.952364	6.730805
4.341178	2.680053	0.285975	1.623829	7.666355	3.647457	2.139702	3.721186	4.503035	6.156175	0.068962	4.368862	9.730018	5.08599	6.487584	10.295431
16.468344	8.0968	8.610967	9.248581	8.628846	8.648465	6.361783	10.388099	23.672663	7.074458	0.301152	11.141389	12.87263	1.120069	6.729111	35.935843
2.575074	8.705818	7.20922	9.966697	12.501252	11.584845	0.356557	1.386767	6.56082	9.82252	2.335656	5.530937	6.419904	9.565822	5.772887	6.623358
6.433105	6.414771	5.621701	13.534023	16.648415	1.61707	2.160126	9.677629	10.466214	14.767061	1.709504	10.922992	18.50386	5.146623	0.984361	14.148859
12.007142	10.267098	1.103994	2.25721	14.531592	10.155299	2.091817	1.108438	14.793249	16.036034	3.98267	10.487575	6.792069	9.258911	5.336052	13.42416
4.468547	4.464597	0.921826	2.994491	0.896234	5.89086	1.139046	0.230158	8.012706	8.266662	11.156221	6.735931	0.586547	2.787959	3.015462	5.713911
0.07579	0.212059	0.095682	0.428674	6.770094	5.471626	0.772066	1.133344	0.413731	7.434871	3.001518	8.597655	0.275055	3.487805	8.33027	8.935577
0.870293	4.513444	0.848599	1.523415	2.821824	1.560882	2.081649	1.501433	0.774704	1.400542	1.777264	0.022541	3.385589	0.554064	3.746671	5.329203
6.011539	13.387167	0.959045	14.559844	35.523858	16.035234	1.371334	0.138014	4.375679	23.885293	0.049754	14.277828	10.183876	15.587226	3.840231	10.684034
10.791254	12.210194	0.988828	2.82268	6.13347	13.036061	2.248401	10.026682	9.141709	6.187375	1.374935	10.69763	2.054643	3.689743	5.54825	7.125902
17.509541	19.278555	16.811372	18.755458	10.570294	3.881214	0.950019	5.192202	22.60946	17.504617	0.043304	25.924804	8.668616	4.260885	1.933381	4.713458
5.722855	1.166512	2.006045	5.286483	6.495893	1.146395	0.723688	4.362405	2.780016	21.417123	10.748845	11.823911	9.796261	2.387339	3.080418	4.521076
11.542313	5.584676	1.540702	1.810634	4.357026	2.609848	1.287018	0.261204	2.715904	2.54559	0.520991	5.711767	2.205187	2.544203	9.132213	4.838763
16.464707	19.432794	0.035867	2.882475	2.818542	4.19343	2.324844	4.891719	16.994953	6.010721	0.014892	4.046382	18.623863	6.460451	8.467225	7.53734
3.574481	7.786071	0.168245	3.434211	3.450659	0.350555	4.817707	7.550406	7.508164	4.122712	4.311876	15.489944	0.19454	0.495362	7.576288	9.045198
7.70073	6.641952	7.140875	6.86576	5.754858	2.589164	1.195075	3.694851	10.275705	8.425505	0.485019	5.380023	2.755324	1.77387	4.735021	3.273879
2.117042	3.333451	0.546813	1.374832	0.712342	2.748635	0.759132	2.015001	3.666694	5.389885	1.622607	1.802241	6.201463	7.924021	5.03077	5.670744
