SomMotB-ContA	SomMotB-ContB	SomMotB-ContC	SomMotB-DefaultA	SomMotB-DefaultB	SomMotB-DefaultC	SomMotB-DorsAttnA	SomMotB-DorsAttnB	SomMotB-LimbicA	SomMotB-LimbicB	SomMotB-SalVentAttnA	SomMotB-SalVentAttnB	SomMotB-SomMotA	SomMotB-TempPar	SomMotB-VisCent	SomMotB-VisPeri
15.449478	16.557226	22.247245	15.539238	26.672957	12.354005	3.539281	1.076882	17.177364	8.360975	6.772196	2.756827	2.22259	10.791096	1.547504	6.03961
4.731035	5.349446	2.799966	0.860004	7.258385	8.770161	1.569792	1.921298	3.857756	4.619097	4.936756	0.527049	7.901438	3.78008	12.853019	4.189147
3.671055	1.837087	8.301535	8.075702	5.246428	4.078171	0.439773	1.685463	4.878219	5.612636	3.413498	5.199917	1.98723	0.934183	2.540655	5.185891
15.206936	19.619118	11.327681	5.635499	13.60914	6.068911	2.67002	1.205019	12.392795	13.741785	4.246494	4.839703	10.744891	0.466875	0.083147	10.650866
0.425834	0.640154	4.277033	0.681122	1.223722	1.924836	0.605708	0.461645	0.301361	0.2626	1.947035	0.598624	4.193631	0.966706	3.992198	6.883164
1.939734	1.041685	0.616084	0.879914	0.017183	0.448089	1.415713	1.220861	0.060462	0.10817	3.49628	1.186217	1.227638	0.213942	2.285229	0.102281
3.211233	5.179213	1.442784	2.264263	2.41768	4.249201	2.375238	6.526976	6.425024	2.80876	0.242632	7.080379	6.837919	0.095867	3.498966	2.534437
2.17574	2.743013	7.823274	3.905761	6.123922	7.048117	2.963799	1.229878	3.317335	2.598386	5.193028	5.228806	5.9969	1.803395	7.100946	1.371148
1.949406	4.55826	1.984311	0.715743	2.709805	4.252948	4.836294	4.452871	10.020505	9.780325	1.447278	7.198086	0.553622	4.710268	2.064994	2.705332
1.707505	6.842657	5.092269	5.199693	2.760047	0.035827	1.449063	0.720684	2.732198	1.86833	12.839169	0.130079	0.332561	0.056134	1.434336	0.727419
2.380558	2.527615	3.061375	8.327711	4.117905	3.401609	2.066249	0.774303	1.214281	1.682984	0.903446	0.046281	3.672098	6.332611	4.044275	1.644772
3.085257	1.624423	5.046349	1.003921	0.943115	0.046119	1.644319	1.17121	3.380303	3.072714	1.232476	5.21459	0.371447	5.723046	4.946382	0.834019
2.116554	3.455763	5.235771	3.658519	7.21595	4.39178	0.723358	3.144628	4.155455	6.219541	2.799929	4.683861	0.781787	0.749302	6.634648	2.482265
1.91044	3.050871	2.880019	1.863932	6.871552	3.578444	6.828529	6.431551	2.336443	0.866407	13.14863	1.420512	6.67978	4.47969	5.823786	7.493758
0.753907	3.632743	7.110874	4.408967	6.777188	2.515477	1.242268	0.672471	0.503331	2.203498	0.567202	0.566377	3.095627	4.641739	0.218261	0.047545
11.805999	14.781651	5.416119	5.141375	9.003819	2.886717	8.558463	4.486707	11.132104	2.242906	22.982205	0.422142	12.510755	4.380934	7.889423	6.923683
1.158095	0.9034	2.580691	3.40714	3.476634	0.177273	0.462262	3.606949	0.989125	2.253764	2.957947	0.529005	0.683584	1.518479	4.250885	0.657138
1.934417	0.223051	10.353179	9.979238	6.743745	1.088821	3.351713	0.635697	3.530411	5.224735	5.838052	4.503781	1.570669	0.716083	2.460291	2.182084
1.590312	0.606333	0.475966	0.932872	0.261768	0.548059	1.400978	3.071708	2.644984	0.818704	0.960158	1.497357	7.206833	1.946491	1.01785	0.968845
7.539119	11.746544	0.642985	0.212681	1.256532	4.08234	0.071712	4.180682	3.957201	0.791616	4.846199	4.593307	6.840206	1.693433	4.840743	0.427414
0.615559	2.648752	3.479148	3.909231	3.63965	2.342385	0.619624	1.33073	7.612681	0.450494	4.066609	1.531562	7.176048	2.319759	1.448699	3.27814
4.017785	3.809889	9.915333	7.223351	4.038332	3.590389	1.582436	1.948379	3.175546	6.429303	1.025062	6.483253	1.644103	0.210842	13.746588	0.282192
2.549097	3.191508	7.304826	6.005912	8.222858	3.595269	0.038961	0.827721	2.201144	1.785553	2.028809	1.785379	1.471505	8.18564	5.237524	3.276541
2.793928	5.439259	3.692364	0.937305	2.456651	0.226907	6.975467	3.487477	0.575004	2.786332	4.796472	0.374822	0.135867	8.171174	3.270092	1.137384
3.220054	0.855835	0.915376	0.470155	1.93711	3.982878	2.41527	2.747058	3.123602	0.849462	5.494431	4.295881	6.610195	3.936238	9.292759	2.878503
7.375873	4.661412	3.902859	8.714623	7.816041	4.894184	0.375106	4.181198	7.454833	10.295638	8.167219	6.81169	1.958925	0.723233	1.173339	0.352236
0.52043	0.631932	1.995414	3.169674	3.900121	5.678666	1.118369	0.918025	0.165796	0.196081	4.746331	0.981545	1.085186	0.13331	2.055096	0.676627
0.641837	0.142786	0.295059	1.803006	2.426135	1.809192	3.178198	1.427108	1.346925	5.273674	0.052067	1.805517	3.999085	2.19351	3.673114	1.410216
2.086108	0.836648	0.1816	3.917884	1.97648	0.5906	1.959196	0.738223	1.1832	1.372076	2.331649	3.345717	0.618192	0.427148	0.807351	0.458797
7.119669	10.568485	7.630994	8.883851	7.438391	3.830253	2.765926	0.024424	5.547617	1.740083	4.681008	1.695169	3.559362	5.974204	0.619544	0.599802
3.427586	7.775229	1.918525	7.361525	2.791978	0.150669	2.409649	0.920701	1.950359	1.496073	0.050171	0.281668	3.245868	0.779755	2.784887	0.425496
0.823039	4.071106	1.358106	3.74533	8.840169	1.502136	2.708759	0.851412	1.73576	6.676423	1.449699	3.890269	5.730247	6.503414	0.264268	1.478939
4.666746	7.317302	3.443194	3.187421	15.282371	9.41878	7.781291	1.170851	1.1903	5.002648	1.936011	3.088678	6.161245	2.53578	8.003181	4.687441
2.612358	1.509025	1.124193	2.238567	2.146859	6.941417	4.747722	2.60446	2.482598	5.486652	1.18844	2.480076	1.068492	3.598627	2.661151	0.195823
0.917799	0.041284	5.325524	5.987038	3.105772	3.121448	0.219386	0.410396	0.748418	1.031482	0.711995	0.504669	6.619044	1.100939	5.542917	3.461578
1.380056	9.122004	0.958669	0.517362	5.790442	8.275506	2.501247	2.177947	1.334114	4.341693	2.793059	0.93361	9.294018	3.478347	0.768442	4.09725
1.990582	0.139529	0.70512	2.057291	0.045433	0.719575	2.378439	0.669586	0.784707	0.741522	2.145502	3.195788	0.228735	9.377412	2.747498	3.364372
3.812136	1.645656	1.451168	2.780969	11.003178	3.723143	1.206672	2.541855	2.35285	2.64551	0.735113	1.724136	1.113514	1.55958	0.929049	0.592929
1.914876	0.113181	2.376902	3.191639	5.677814	6.60861	0.164969	0.991248	2.298123	5.249271	0.786234	3.136913	3.339473	2.081071	0.808916	0.223134
3.341642	0.043765	4.137885	6.371904	2.212473	4.453261	0.695733	0.250354	5.702784	2.870112	5.273806	2.417196	0.91288	7.263687	3.623612	2.688258
0.151956	5.221528	3.445819	3.8655	4.662254	9.701737	0.753872	4.941098	1.541969	1.730013	1.907545	2.154051	0.209243	10.355945	0.232752	0.926367
