DefaultB-ContA	DefaultB-ContB	DefaultB-ContC	DefaultB-DefaultA	DefaultB-DefaultC	DefaultB-DorsAttnA	DefaultB-DorsAttnB	DefaultB-LimbicA	DefaultB-LimbicB	DefaultB-SalVentAttnA	DefaultB-SalVentAttnB	DefaultB-SomMotA	DefaultB-SomMotB	DefaultB-TempPar	DefaultB-VisCent	DefaultB-VisPeri
9.599084	3.759298	1.113954	0.711719	0.938351	0.14474	1.153977	13.451939	3.79932	1.907365	2.662494	0.68767	0.177518	8.211355	2.548797	2.588811
2.409633	3.151651	0.974118	0.721213	3.672371	1.939414	0.393501	1.016012	0.567739	4.161868	0.222219	5.442796	4.6031	2.597306	7.782642	7.254295
1.423307	3.264757	6.46506	3.361587	3.709426	3.801905	1.763177	0.145742	1.392254	0.32703	0.413016	1.962594	1.538808	1.673439	4.710428	2.21381
3.703608	0.213571	1.593916	1.035802	5.022113	4.967668	0.457913	2.595078	7.793185	1.616175	1.879129	1.122618	1.669519	0.014282	2.781524	1.660839
3.715241	4.894957	2.361631	8.34724	7.690719	14.748949	3.094964	2.014719	10.765873	2.494568	6.325758	20.769768	14.324841	4.45781	4.730954	28.291345
2.704203	3.351681	7.613186	9.870999	4.165393	1.781936	1.832146	2.319892	4.497629	0.741866	1.080818	0.891096	2.208057	2.764494	0.866771	0.615277
5.23411	2.202883	9.697416	5.946706	1.154883	2.682167	1.216482	2.762755	4.784783	3.872977	4.01201	6.374616	5.661956	7.742008	4.503081	5.318195
1.859378	0.120979	4.156421	0.200148	6.589145	2.764409	1.786788	0.932868	0.804359	6.009862	0.350986	5.847127	1.710269	2.580508	1.283902	2.701258
16.310594	3.853884	1.505123	9.178876	4.630854	12.962215	4.214918	7.469269	3.055433	4.310062	3.983148	0.305935	0.664537	5.997525	3.967356	3.315703
3.331935	3.545313	2.156012	3.252571	16.099378	5.757748	2.010636	1.233742	5.245884	0.343769	1.078721	2.999941	3.188606	0.183494	0.939956	0.704187
2.374178	1.823337	9.569002	5.864416	13.025541	6.066379	0.792	1.370142	1.321029	5.052891	0.036497	1.742933	1.537863	6.238904	1.223399	1.150884
2.383036	1.81309	7.397934	6.021437	6.581148	1.238188	1.736044	6.201771	15.391068	1.054648	4.361848	1.457741	3.286628	0.217493	0.317367	1.298755
10.384139	3.633002	7.049329	4.983185	16.070713	1.221313	0.397298	11.69248	16.448808	0.118283	7.5625	1.345712	3.291713	0.690003	4.2612	4.937117
16.476719	14.794018	15.260421	12.709453	27.514698	0.004313	1.866271	8.597433	7.062558	3.43762	4.291512	4.625474	5.598866	11.506438	0.519076	1.779573
0.203024	6.741655	2.219834	3.019603	3.226041	4.145373	0.602317	3.069253	4.278284	2.250704	3.882326	10.553394	0.751995	1.930823	0.299729	3.663669
3.472075	3.019783	4.982342	7.381749	4.331132	1.305309	0.502574	8.684697	5.11065	3.498705	1.194011	13.547243	1.076003	1.185156	3.448862	2.192794
11.809623	13.931534	15.05902	27.390724	5.427467	3.76395	8.026105	22.236675	18.895095	0.23525	6.042049	3.545267	5.050627	0.283737	5.619179	1.766878
7.173207	6.30602	10.383849	8.335926	0.58605	4.114269	0.950771	3.756171	10.026422	1.60929	3.898037	4.503055	1.92158	0.436674	0.82833	2.557664
9.897847	0.008458	10.44506	3.959165	1.435815	2.903095	1.215376	20.030815	23.72723	0.943416	17.151026	1.623612	1.518883	9.631728	3.738195	1.720689
0.679718	5.738189	6.075419	8.749591	8.862715	1.955596	1.129078	0.520502	4.936701	0.020149	0.573943	5.73251	2.807579	2.154419	2.691846	0.796143
2.279164	4.654024	12.952028	8.156904	2.745074	4.886613	10.247253	3.407911	5.683592	1.457507	3.885678	10.90625	1.029549	0.821179	1.079551	1.438198
1.015258	5.736042	1.931773	2.767877	2.45998	5.561123	0.15742	1.247628	0.805639	2.581761	0.493194	3.032671	2.759219	1.686415	2.038456	3.119339
0.378101	3.241564	12.387112	1.689974	2.411866	2.870591	0.487066	1.425253	1.115955	0.244751	0.39837	0.380554	2.779459	0.548719	0.471036	0.509972
21.258765	18.057364	11.989414	10.714922	19.050822	1.216607	3.143957	17.419046	4.752087	8.670991	1.282653	1.094765	2.682007	7.787936	1.831409	2.201033
3.501837	1.722947	15.42753	7.039692	1.936621	13.762759	4.89562	12.350001	17.396114	3.098216	5.116947	6.578165	4.57287	0.198738	2.789342	9.003395
0.386458	0.256967	0.857499	5.90084	2.224057	12.251747	10.467443	1.270673	3.973727	2.793142	0.797988	2.219439	3.968437	5.969891	2.207402	1.802929
4.553986	6.200933	3.61665	1.84156	8.099869	9.215603	3.739244	4.725016	17.763398	2.870962	8.33604	16.555203	4.280063	0.231968	1.954522	12.365168
0.018122	0.438627	3.714358	8.802545	3.147234	2.244086	2.947337	1.235804	1.069875	1.325977	1.492023	2.447296	1.440125	1.711035	0.82473	3.759253
4.194616	5.652926	1.007588	0.969155	1.690106	3.746729	2.803746	3.794106	6.546752	0.547811	1.778472	2.837872	6.217012	8.488452	5.493079	3.248141
9.042952	4.372077	13.376208	5.528759	0.354007	3.58983	0.459713	1.694324	3.891198	1.195195	0.899866	2.145534	2.159099	8.683047	8.882172	3.735525
0.449386	0.217007	0.998109	8.025659	20.50991	2.202622	3.291139	1.021545	0.364981	8.123036	0.613711	1.620434	5.564413	1.787499	3.255233	0.290526
2.255337	2.104122	5.810723	4.662357	0.082246	4.661204	9.549659	5.091448	6.610923	0.481316	3.061844	1.46393	2.180464	2.490925	5.173139	7.01588
2.731344	3.166213	1.498483	2.278522	2.952611	3.709517	0.295936	1.292704	6.351871	0.068495	0.569273	3.745297	4.281941	0.557109	3.615208	7.602063
1.697168	1.001423	3.548785	7.224275	12.06528	0.149111	7.453624	1.763518	1.70721	2.434339	0.252716	3.315826	3.736977	12.016173	1.17707	0.675343
2.964011	2.213373	1.790721	0.610382	7.541327	1.37495	1.543826	3.433359	2.471496	5.86651	1.393835	7.419933	1.633939	10.570888	4.321851	9.292879
1.92192	1.841331	0.457059	0.207795	6.635346	2.315679	0.897722	3.179001	5.116386	1.050523	3.365972	5.387737	4.212382	2.022407	1.579538	4.574471
3.309276	0.620242	4.891107	6.399511	1.142111	17.442253	1.442979	0.75288	4.549608	0.551437	1.5863	6.448992	0.285153	4.184426	7.133124	3.678681
0.175275	5.032653	5.281176	4.361712	7.657835	4.509677	0.068666	1.499447	5.897156	6.08474	0.302757	1.334813	6.525075	3.262074	0.107322	8.201133
3.485671	4.092631	0.224311	1.396049	0.91724	10.389247	5.06631	5.14255	5.254391	12.314713	0.550809	4.378408	2.283998	0.499683	14.670983	4.016007
1.454911	0.813838	5.430969	4.358875	0.507857	0.894926	1.314012	1.638849	7.062326	1.482832	3.551594	2.94023	3.161946	5.496776	6.320446	1.010424
0.192628	1.667005	9.168809	3.913724	1.427916	5.995449	0.863098	2.72989	2.82486	2.820662	0.296423	0.618886	5.356546	0.288492	1.451474	0.765684
2.286577	5.875244	2.458917	1.157896	0.792012	3.348327	4.981152	0.757316	1.318209	3.907777	0.654961	0.200742	0.693311	2.882839	3.543611	2.50134
0.0473	0.746168	15.504278	2.130518	1.147399	9.031637	7.153642	1.304226	31.845269	1.424167	6.359896	3.244018	3.29247	5.590035	0.475388	0.69832
1.54805	1.495036	2.146316	4.498961	1.629368	4.220293	2.037847	1.574043	3.231607	0.910017	1.786489	0.803949	3.535448	0.316214	1.264609	0.655499
4.072792	3.98303	0.582427	8.541556	3.561956	3.047718	1.440934	5.403612	12.707288	4.489005	7.304381	10.451974	1.123773	3.371024	4.311716	3.380367
0.284332	0.834266	10.752447	11.186628	11.259633	5.617579	2.02359	3.77169	10.387212	4.92417	6.515883	3.334383	4.988878	10.99727	2.087397	5.910973
1.220486	0.418249	3.73894	3.562321	3.395386	5.301684	5.030961	4.041892	10.108081	1.96775	4.950454	1.378628	3.766133	2.143101	0.709589	0.632308
3.51244	0.010139	1.138591	1.643399	4.033472	7.026194	3.379748	4.398348	4.398667	0.902779	2.247566	0.904552	4.948734	6.268747	2.276355	0.210565
8.397651	5.503694	19.919236	19.301805	6.706979	0.454955	3.744393	13.587239	8.913996	1.192813	4.936273	2.653496	2.726409	6.371568	4.811741	0.879568
7.966585	1.446816	1.285992	1.762966	8.981619	4.415175	2.132412	2.560716	14.413016	3.23077	7.9489	4.787501	4.186519	3.029536	0.62787	5.084094
0.136327	0.717804	1.516924	2.943924	3.56725	7.697251	2.938416	1.935478	1.123727	3.503335	0.588971	5.226937	10.330111	3.1453	0.549096	2.722063
0.44212	0.825525	5.507484	3.920476	1.553099	3.804484	1.765212	4.880247	2.127139	3.731713	1.681752	0.040148	1.523838	1.113413	2.020548	0.363119
2.13456	1.697495	1.838859	1.361358	2.461333	2.11536	6.730639	2.730106	1.029502	2.25954	0.534154	1.244223	0.542581	7.611999	0.946276	2.283242
2.103879	0.981165	1.90766	1.564156	0.133886	5.237751	2.740576	1.658565	2.762701	0.064058	4.903036	2.659072	2.21921	2.400452	1.379714	2.390117
4.046554	2.611009	0.105205	3.735117	5.905114	2.154903	1.878165	1.84218	7.322623	2.762497	1.394131	4.457501	4.028587	6.093303	5.004716	6.518539
1.251089	6.671049	7.031522	3.733682	3.17618	18.076836	3.141617	1.16122	16.914066	0.253528	3.901022	0.709018	4.378457	0.779189	1.345222	5.692696
6.709428	17.877213	20.074029	28.861835	41.345379	8.526597	5.250526	25.003994	26.577458	15.737725	0.819236	19.360766	2.022521	6.24716	1.984461	12.989235
1.049341	2.225812	7.204616	2.633302	3.507083	3.72982	1.277058	0.882416	2.4662	1.57511	4.771263	1.500267	2.215893	2.895758	1.698537	1.432934
5.017557	0.101801	2.425119	0.485422	0.632989	3.138099	0.70918	5.191502	4.022021	1.133741	0.994937	0.447988	0.240979	0.340943	2.658492	0.583157
0.592707	1.707248	5.320916	0.424774	0.88945	0.982458	0.716058	0.013853	2.178704	0.397762	0.037038	1.907061	0.252237	0.013467	2.729757	1.746942
1.959336	2.198721	1.364862	3.187213	6.116761	5.05445	1.035223	5.016931	7.579913	0.539568	2.206071	2.098609	1.410995	1.705175	3.127628	2.037577
8.359555	20.809445	0.76043	3.174611	20.612969	3.60039	4.262921	3.775078	12.651607	0.699397	2.03382	26.11249	1.452593	0.40388	1.325816	15.395753
0.849788	1.163508	6.751244	11.220858	1.525643	7.145544	0.093337	15.982267	33.335928	0.295684	3.655603	2.033973	0.140619	4.975088	1.19073	0.994723
1.704353	1.497334	1.890142	2.463388	15.70293	3.641753	1.941695	0.435632	3.365538	3.76712	1.092161	1.159348	8.16025	5.820928	2.752933	3.441391
2.504274	2.074053	7.928526	7.656777	4.101619	3.25915	4.9772	0.746195	4.451418	10.370804	1.958635	1.152459	0.323683	2.189159	1.734886	1.146859
3.533508	4.631479	14.483923	7.938707	0.41633	5.770057	3.076838	12.044535	26.556907	6.648341	11.981047	1.308417	1.065216	6.067	9.508561	1.82826
4.377722	2.606104	2.929831	1.820415	4.00275	4.26947	7.045794	0.713535	2.632899	1.461248	2.23514	0.851615	0.454141	3.007453	2.492762	5.695186
5.106567	1.41701	4.493026	7.372115	12.787607	3.751748	0.36694	3.861684	10.563971	3.088252	3.464629	0.782971	0.587654	4.483824	2.969842	0.46458
1.446804	4.505776	3.29062	2.009912	2.003171	3.730785	0.858365	0.361282	0.986341	1.018365	4.214402	2.684127	1.099092	4.168276	0.634533	0.158926
0.428408	9.961399	9.993129	4.352981	3.122689	0.511757	0.618879	0.281759	5.971896	3.512138	1.170101	0.83339	2.143045	12.940062	0.602649	2.507658
1.449082	3.042746	2.503802	1.633124	2.661372	4.351414	0.154768	0.129992	0.604743	1.093775	2.222678	2.548141	0.15746	0.494673	0.063047	2.312021
4.941361	1.171235	2.767549	8.124174	2.796073	1.098238	1.337582	9.111768	19.257119	0.852244	7.17425	1.378406	0.532008	0.288605	0.951718	3.480172
