ContA-ContB	ContA-ContC	ContA-DefaultA	ContA-DefaultB	ContA-DefaultC	ContA-DorsAttnA	ContA-DorsAttnB	ContA-LimbicA	ContA-LimbicB	ContA-SalVentAttnA	ContA-SalVentAttnB	ContA-SomMotA	ContA-SomMotB	ContA-TempPar	ContA-VisCent	ContA-VisPeri
10.796834	4.678661	7.68137	12.2636	0.81463	6.020653	0.310317	21.347337	3.445305	1.353167	4.347324	6.004542	2.274615	1.034314	0.243278	3.194567
1.051858	0.747302	1.361579	1.394222	1.590563	1.472597	0.319003	11.596864	2.971708	0.542364	0.107847	5.941694	1.709281	1.010576	9.839102	5.551933
6.722827	9.707491	11.350219	10.540892	0.711229	2.854025	4.312292	35.902834	21.890763	1.176143	15.008923	5.204678	4.072249	0.170768	0.184586	11.167186
5.799098	7.314888	13.675423	16.307772	14.131745	2.14589	0.046104	57.64654	42.529163	4.09287	10.863602	15.431952	5.497546	1.815089	3.298949	11.581026
2.646516	1.193361	5.772693	3.993996	1.177499	0.275518	1.196851	36.352837	7.246559	4.614498	5.409718	8.875056	0.124545	1.702962	2.738771	0.755503
2.206443	0.732798	1.148516	5.650912	0.602408	0.315637	0.7665	8.605153	3.704342	0.945702	0.431333	0.426021	0.984524	0.066747	0.634578	0.010466
3.633093	0.424802	1.808455	1.247282	0.340761	1.863972	1.488139	29.927684	1.295128	2.697166	1.449654	6.328743	0.589329	0.407934	2.963513	4.507079
5.514348	0.323476	1.079305	0.389998	0.125253	1.577876	0.281491	11.582635	3.219042	4.188876	5.380722	0.320855	5.152425	6.8726	0.67018	2.50143
1.649954	1.021752	3.629578	5.952214	6.524227	0.364602	0.236362	9.744136	5.991419	5.367133	5.484076	4.243021	2.542657	5.475183	0.262338	1.691478
4.509423	2.964056	2.082042	0.334209	1.253937	0.962374	2.606358	32.936588	8.682893	4.266841	13.811031	0.287889	0.200739	8.461839	0.270823	0.272293
5.042006	1.248187	1.355787	0.394909	0.06175	0.862333	7.777539	26.539394	16.336322	0.064106	1.705873	1.737858	0.121547	0.416292	2.372373	0.548917
3.680588	9.481921	7.447496	3.445763	1.522277	3.912682	0.399037	18.383824	8.423301	2.394691	19.560013	0.914802	2.345037	0.127173	2.401078	1.066626
7.813877	11.154179	7.636465	7.780371	4.141594	0.140625	13.476811	40.692014	13.95081	3.489458	14.923562	3.361381	1.656006	3.477695	2.962739	1.083647
