ContC-ContA	ContC-ContB	ContC-DefaultA	ContC-DefaultB	ContC-DefaultC	ContC-DorsAttnA	ContC-DorsAttnB	ContC-LimbicA	ContC-LimbicB	ContC-SalVentAttnA	ContC-SalVentAttnB	ContC-SomMotA	ContC-SomMotB	ContC-TempPar	ContC-VisCent	ContC-VisPeri
1.434818	0.873648	19.62013	6.289254	0.379991	3.12157	7.184651	11.453853	8.323693	1.161445	9.309226	4.453308	0.428124	11.952465	6.052405	4.425899
0.282717	3.516689	5.546236	4.228237	0.532708	1.23688	1.131052	0.314134	0.16853	0.632972	0.740562	0.096441	0.406704	0.654772	1.198062	0.2349
9.440111	1.887759	0.855028	5.29272	1.316776	0.978231	0.385711	2.570498	0.588582	0.025294	0.176388	3.350639	2.451559	0.516195	3.138991	3.272566
1.858137	0.686643	13.661857	2.138356	1.445143	0.384638	4.405772	4.546998	1.632446	2.321213	8.379408	1.593522	1.100096	2.018328	1.017896	3.847453
1.448383	4.494869	9.365742	5.154329	1.440809	1.55689	1.665178	2.190809	4.55646	2.124628	3.945178	1.269095	3.747396	3.116358	5.665791	1.135277
1.994995	0.831222	5.348253	3.968622	5.174278	3.576023	1.106848	3.608344	7.197349	3.352442	3.690875	4.238714	9.360202	4.194959	4.496928	1.566685
0.029244	0.456642	5.234433	1.890305	0.237624	1.470213	2.068188	0.784468	0.776834	1.242235	4.136964	1.093753	1.874838	0.1835	1.298099	0.557484
1.283918	4.685274	3.591326	3.781344	0.74403	1.273801	0.173558	1.659578	4.753751	0.738079	3.046618	1.087794	5.177638	0.756768	0.347091	0.803499
0.580015	4.897309	0.036491	0.008256	0.285418	3.06158	0.775962	0.055896	6.734043	0.808621	1.561125	0.060326	0.950643	1.701322	0.358983	0.180132
0.026694	1.38442	7.544827	2.940761	2.460584	1.707784	0.357413	0.621746	7.135976	1.961254	1.495909	0.021475	0.194484	0.735614	1.539811	0.657403
1.874446	2.619847	15.716837	11.142286	4.52705	7.902838	5.845122	2.154433	8.567262	2.112492	0.833325	5.992063	7.203054	1.659027	2.916697	4.450464
0.358721	3.718668	2.323467	1.067755	0.766059	0.893755	0.10464	0.696098	5.348684	0.387658	0.272336	0.865347	0.368932	1.417774	0.153414	1.189135
3.820172	5.610325	12.522348	5.320896	1.69636	0.844829	0.262071	8.408918	11.13079	0.763092	2.863789	5.8883	0.692314	1.91924	1.070552	4.765452
0.516787	2.268636	0.780782	0.752788	0.396863	2.429332	0.800453	0.315516	1.744241	0.890755	1.39324	1.213331	0.875319	0.117417	2.773835	1.627392
0.783208	1.01575	4.831133	1.734923	6.904038	3.743001	4.297603	1.364867	3.242404	1.066393	0.839322	0.56921	0.146474	2.196269	2.499664	1.447397
0.727529	0.085638	25.031227	0.39572	1.201997	8.085722	2.500312	7.905269	10.781492	0.272608	6.605456	5.172341	5.240534	1.413728	2.446243	3.680849
0.608293	3.490622	6.988826	3.1121	4.246377	4.491797	1.967305	0.803371	4.449717	0.182355	1.850825	1.378276	0.477948	3.02688	3.36835	1.321865
0.007796	2.008744	0.822092	0.729432	0.800551	3.298841	2.402075	1.06256	3.079416	2.473113	1.518134	0.347511	0.217893	1.383776	1.082403	0.315069
1.613025	6.004275	8.1973	1.13754	1.107381	3.357946	2.39673	1.073889	0.606689	2.660559	0.688142	1.713051	3.197541	0.862735	3.040706	0.986456
0.517853	1.02317	11.472395	1.636881	1.304109	0.181257	0.74417	0.248785	3.035091	0.419661	0.603324	0.249602	1.415256	0.656575	4.141463	0.223972
6.516277	4.871416	12.87603	5.737112	1.25508	1.077742	0.472314	3.900452	9.985983	1.902869	7.056171	6.288532	1.414642	2.115165	3.486898	3.125307
1.40106	1.648015	0.837668	2.185949	6.296039	3.119566	4.10595	1.611341	2.884354	7.699266	2.856773	5.345736	4.145747	7.00347	0.117563	5.258157
3.114832	1.93165	0.140448	0.089209	1.338281	2.016704	0.427223	0.554922	3.141304	3.075086	3.005151	4.501512	1.675715	1.532917	0.94176	0.200925
1.612233	3.776345	8.209067	18.848251	6.596229	3.308029	2.387673	6.271349	11.608388	0.462067	1.725156	0.828128	3.876552	1.321244	5.155687	0.181
4.816224	3.028514	29.67192	21.618611	5.765554	2.559166	0.231531	8.284081	10.714762	4.384961	4.596183	2.015696	2.644546	3.490152	1.586861	5.844299
2.482309	1.852237	35.840637	19.448152	0.589367	0.071304	0.78981	16.295263	26.006837	0.935269	11.77298	1.640761	3.806268	4.622346	0.442449	1.598955
11.202955	6.14295	9.044303	12.871972	5.225996	2.008795	2.944059	10.254207	7.58292	0.341781	1.892543	6.133535	4.026483	0.236096	6.22473	3.734364
16.244822	7.320048	4.326607	3.06322	6.632073	0.693144	4.519944	16.348175	6.667963	8.040473	6.246471	1.287503	1.379559	1.866558	11.036229	6.050934
4.277682	5.881235	11.023932	7.552988	0.410047	1.265546	1.792555	5.759159	12.845075	9.39505	5.086032	0.076667	0.645228	1.74128	0.427095	3.117399
1.552985	4.922349	6.930434	1.325674	0.641746	0.285086	0.213091	2.310747	4.420462	3.394637	2.288732	4.06623	0.946164	2.171522	2.32014	0.729475
9.458827	10.370464	9.066035	8.143195	0.105536	2.89986	4.949163	6.507437	12.599094	2.282885	9.973346	6.925231	1.978879	1.382995	2.216028	6.636974
2.446295	2.750923	1.05089	1.773329	0.229677	2.028793	0.100938	4.034221	2.688613	0.041159	1.00993	3.619082	0.529832	0.171765	2.808213	0.458178
3.942521	2.824365	7.258982	6.781716	2.319419	2.496023	8.204023	15.892222	21.930624	4.391689	14.041385	1.258175	0.360721	0.564783	8.00896	2.6443
4.646639	6.099767	7.427932	2.689204	1.473352	1.624105	2.383453	4.937262	6.617181	0.261754	2.280233	1.181748	0.001315	0.377215	0.369712	0.958937
6.401104	4.110726	8.673735	1.907373	0.352672	4.839217	8.257019	7.387873	5.739839	0.812292	7.968185	5.169531	0.395256	0.708869	2.356821	1.089685
