SalVentAttnB-ContA	SalVentAttnB-ContB	SalVentAttnB-ContC	SalVentAttnB-DefaultA	SalVentAttnB-DefaultB	SalVentAttnB-DefaultC	SalVentAttnB-DorsAttnA	SalVentAttnB-DorsAttnB	SalVentAttnB-LimbicA	SalVentAttnB-LimbicB	SalVentAttnB-SalVentAttnA	SalVentAttnB-SomMotA	SalVentAttnB-SomMotB	SalVentAttnB-TempPar	SalVentAttnB-VisCent	SalVentAttnB-VisPeri
25.570166	6.512223	21.148073	29.549073	19.200166	1.495371	0.182075	2.665392	15.731354	44.480648	13.648292	8.71885	4.022668	5.156104	3.545915	5.968136
0.689365	2.182396	10.378817	2.820194	0.199525	10.419107	1.261613	0.704906	1.944148	17.550206	2.246468	4.456603	2.317836	5.314197	0.609176	5.823288
3.766156	1.59302	1.142786	10.220159	1.763753	3.425074	1.097805	11.997765	10.171867	28.343962	5.693626	13.327486	1.39702	2.419651	1.355735	4.236081
0.718713	0.824053	6.668177	2.325513	1.241114	0.393276	0.098441	7.863682	8.352338	16.87395	13.244247	3.456573	0.914203	0.034232	0.719225	4.703714
4.264313	0.21441	0.946566	2.949484	5.757327	4.657693	4.288542	0.078778	6.844796	34.203071	1.009362	2.161382	1.57226	2.137002	3.193462	6.433149
0.398625	0.327859	2.240075	3.362297	1.96868	0.40903	0.211138	0.541531	8.08421	17.947373	10.771264	1.6537	0.156729	2.621681	4.837835	0.913457
7.675836	0.675602	5.17232	8.236562	4.464341	0.816268	1.417706	2.794812	11.099417	15.109411	1.449823	9.136178	2.146394	0.797592	3.413895	3.657553
20.204884	6.55423	20.105878	9.551499	2.558449	5.313995	0.119313	13.825634	39.587901	32.045539	17.468192	2.502024	1.524434	0.593071	7.397086	2.336493
10.672458	0.074344	5.91176	6.57428	4.245932	1.473233	0.873312	4.29552	19.415669	39.484833	12.679172	6.745732	2.589339	1.923896	2.391558	0.044622
23.662579	8.98987	29.947335	35.209284	24.165732	1.284982	2.84681	1.920882	41.720532	36.724506	3.082775	13.136314	16.22107	1.275318	8.228551	3.778071
10.242305	6.503135	4.099491	7.656662	7.428997	1.160139	1.363587	3.088538	7.721421	17.438192	1.490816	1.988123	0.706309	1.351852	0.157747	5.322761
1.552537	4.404599	1.430748	3.330364	0.260537	1.057865	0.672708	6.629125	11.14162	27.436077	6.097316	4.338186	2.976565	0.058374	0.237736	1.473531
0.809079	0.160093	0.401375	0.006032	1.054972	2.38226	2.464788	2.654136	5.028385	6.077571	4.358111	1.174885	2.301513	0.132849	0.728325	1.276268
9.261872	6.072612	3.253302	7.400683	5.997941	3.773168	0.181965	4.511079	7.576758	25.378126	9.47609	13.931967	1.225785	1.093732	0.668335	5.509247
7.600114	4.221443	24.991821	15.223797	6.220961	0.182231	4.588259	9.421781	28.791651	34.506457	3.197104	6.772982	3.340704	0.030596	6.772146	0.881897
11.572825	0.003559	2.344434	4.069925	3.676287	2.432847	0.650019	6.241439	9.195047	47.575544	12.839232	10.058301	1.729413	1.451762	0.400649	4.625163
16.075425	1.314986	0.290199	0.008723	1.578541	3.755842	0.368747	9.154859	11.043981	20.722314	3.217017	14.130892	3.940679	0.940638	1.439601	6.3512
3.386675	1.107695	5.41383	5.263479	3.011364	1.629626	3.075509	12.946451	5.600704	13.876787	7.388239	9.386361	3.187353	1.146688	0.857414	10.873514
0.687789	0.897242	7.079167	13.166119	8.890226	2.002966	0.268391	1.361599	0.766992	10.352657	4.219678	1.51754	0.864796	4.357099	0.95054	0.278221
14.169288	4.169513	4.170904	10.330808	9.183468	0.709899	0.466554	0.853746	24.69208	39.352706	1.932107	10.561263	0.16934	2.789696	0.027093	11.114109
4.661377	2.880559	0.197974	0.117422	0.829073	0.912696	0.282247	2.313739	3.471439	11.035877	7.20235	1.861493	1.531125	1.084867	0.314868	2.344189
3.230555	0.367757	2.325189	16.955808	6.452402	0.122232	0.447359	2.963451	4.636591	21.957432	10.707455	2.631648	0.791162	2.413956	1.446025	0.626204
0.818176	1.683725	7.578865	4.396504	2.078916	0.663018	0.976278	2.28653	2.428121	9.007469	12.001068	0.539936	0.661957	2.921212	0.032381	0.956742
0.800066	2.683255	0.13787	0.003705	0.325849	1.979491	4.108748	2.275596	5.144164	5.383202	7.185658	2.993301	8.357462	7.786451	5.543478	5.067704
9.190921	2.186082	6.226056	5.258389	0.779078	0.713683	1.44692	4.201314	37.45525	69.726492	16.466642	10.867613	1.572737	0.182256	1.758902	1.381604
0.950601	0.93315	0.735995	1.352744	3.345942	4.647076	5.857853	4.273198	2.02196	13.877091	2.776209	5.290856	4.102301	0.082233	0.668798	5.201862
5.82748	0.168631	2.631317	4.923354	0.441222	2.546691	0.429099	2.268767	7.090392	19.327657	9.414877	11.130557	2.55901	0.403513	4.573025	11.362012
7.270849	2.99332	7.527946	2.639049	1.443957	2.373623	0.546204	0.793539	2.123668	33.101489	1.964445	6.49428	4.626778	0.795828	0.373117	4.984256
16.810188	2.927265	8.57513	26.27833	2.679709	0.914188	1.785556	9.303179	35.921722	42.434253	2.961357	23.831125	1.459038	0.030584	1.152947	10.909299
20.980161	5.859783	7.33548	22.500992	4.743374	0.428576	1.788507	6.630461	34.870743	39.991371	10.23782	11.878609	4.978409	7.23051	1.382364	8.502113
6.63624	5.577013	1.680583	2.123469	5.853983	2.261342	1.83438	3.192281	12.263907	10.389114	5.434161	1.485396	3.328966	1.232696	6.785332	3.754003
22.018219	0.991269	5.767168	14.489063	6.287224	2.005534	2.760699	4.144427	16.306616	49.708505	3.085689	19.39008	9.929367	0.724546	6.780469	7.607858
3.147816	11.424318	1.026101	4.2904	5.464166	3.797114	7.18226	3.740758	0.620966	6.621788	7.8021	6.596173	7.726755	20.283172	2.975548	4.288762
3.645825	2.512328	1.604065	1.47927	1.911825	0.122214	0.493533	2.6412	7.037534	20.490335	11.694941	2.095822	0.176197	1.480177	1.072895	1.139397
