DefaultC-ContA	DefaultC-ContB	DefaultC-ContC	DefaultC-DefaultA	DefaultC-DefaultB	DefaultC-DorsAttnA	DefaultC-DorsAttnB	DefaultC-LimbicA	DefaultC-LimbicB	DefaultC-SalVentAttnA	DefaultC-SalVentAttnB	DefaultC-SomMotA	DefaultC-SomMotB	DefaultC-TempPar	DefaultC-VisCent	DefaultC-VisPeri
2.880202	8.37975	1.232687	1.661994	26.24109	6.904161	2.530414	2.222519	1.883906	7.146401	6.876485	5.153365	2.317257	3.782137	1.547464	1.406085
4.659762	0.299797	0.719696	5.529791	0.687684	0.72666	1.54622	2.141875	4.308271	0.405995	1.05755	0.596697	0.385023	0.833973	0.060982	1.256732
0.208624	2.762328	1.328865	0.235666	6.149557	4.090493	1.069247	2.743171	0.759745	5.408532	0.198961	4.159713	1.037488	6.486206	0.487613	2.472558
5.086309	18.770365	27.801333	14.067354	4.827019	6.057296	6.675274	3.303696	2.124043	3.547164	5.12536	43.178728	0.422474	0.672501	9.61386	31.111028
0.123445	1.116868	0.294251	1.331223	3.523042	2.838445	4.601055	2.085804	4.25425	1.086998	1.253977	9.915394	0.871671	1.208729	1.077497	4.791349
3.794	1.764127	0.608531	0.127371	0.765677	0.982881	3.035999	1.924633	3.760162	2.128103	4.041481	3.311148	2.920065	7.189935	7.78986	1.815599
2.087058	3.237505	3.613803	4.744834	32.639017	9.559113	4.654572	0.296001	2.012016	16.847972	2.438818	5.148616	3.744764	6.52823	0.11102	0.372096
7.906567	16.556869	9.638994	13.462669	2.494785	7.227852	6.893747	6.819819	3.012028	2.071193	9.031072	1.353331	2.834616	3.128673	3.234662	0.802529
2.667478	0.431601	0.308894	4.005469	0.460687	4.120368	5.430747	2.137194	0.754455	7.74356	2.391905	6.506676	0.519717	1.118229	1.605923	5.221104
0.285867	0.568749	0.567093	0.872975	13.092818	2.383017	0.081861	1.249808	1.61294	1.152174	0.110365	2.744463	0.224395	6.096852	6.160433	3.834911
3.841017	1.682885	0.454113	0.720493	6.377126	3.111055	0.437141	3.816829	2.699852	10.323452	1.734517	0.500779	5.209859	21.990808	1.397627	1.93349
1.309333	15.806346	4.27424	0.868741	18.630314	0.631867	0.081339	0.34233	3.099602	2.63337	1.608678	7.187955	4.437033	19.598039	1.573552	2.154103
0.572565	0.747032	0.598502	1.412356	5.493897	12.049942	0.418749	0.251294	0.878448	3.477456	0.360176	0.072439	0.941243	8.688003	0.948728	0.600943
0.212459	0.75811	3.185458	3.351758	7.014782	2.10373	0.481491	1.854861	0.839608	13.998502	1.752058	10.582252	0.593173	8.843532	0.312284	4.011621
0.869107	0.324626	7.455679	2.87903	18.822336	0.644199	2.69333	0.233446	1.892165	7.372085	3.692441	1.571256	0.865104	2.150831	1.134632	0.707086
2.534376	12.876808	3.757749	2.225436	28.109635	2.394367	0.479816	3.835967	3.743889	5.49568	1.461413	3.224661	1.342078	1.92702	1.418722	0.358541
1.834905	1.249277	1.060281	0.231656	7.160581	1.384497	2.217874	1.050853	0.200602	4.675988	2.912416	3.643727	3.034977	0.698824	3.391392	2.741187
5.779635	3.860378	4.595912	10.534483	10.152482	1.973586	3.418004	10.364448	4.025932	2.114992	1.928897	5.665929	0.014969	1.606392	1.925296	6.992226
1.349414	2.07033	0.154885	3.58552	2.218499	1.645752	1.168855	2.638247	0.629319	1.75124	3.497591	4.910526	0.297289	1.344728	1.276575	6.884362
1.049052	1.24799	0.01797	1.433068	25.044921	6.128621	0.670637	0.310676	0.117913	0.596547	0.162426	8.940987	3.620808	12.311647	4.841107	4.427517
1.644781	4.512136	0.130916	0.119864	3.21599	14.925833	3.553411	0.001332	2.050358	0.511381	0.635945	6.390736	0.142194	1.772969	4.309849	4.698385
1.773181	8.192434	6.58139	3.889306	14.662947	4.766696	11.672195	1.654865	1.59723	1.267278	2.711855	8.297325	1.014785	18.811454	4.4911	5.782555
5.768873	1.331972	0.405656	0.392067	9.578118	7.283611	7.60607	4.575981	0.041305	3.793334	0.581554	7.607468	0.836143	0.872219	0.688576	2.727386
6.716821	6.279264	1.049338	2.700873	0.098612	2.382403	7.066265	6.230344	3.79391	7.401476	3.693048	0.561545	1.854578	0.355671	1.809012	1.780416
0.032801	3.363545	0.368051	0.984418	27.910748	6.878165	2.285528	0.333759	2.520229	2.727487	1.021651	10.613526	1.414105	6.848572	1.16029	4.917465
0.522392	7.627007	0.57916	5.006694	7.338535	2.910109	1.220112	1.057123	0.986729	2.36243	4.321648	16.606942	8.986005	8.478543	3.051151	5.162811
0.383577	9.096891	0.571329	1.671	4.964048	5.167122	1.702773	1.340218	2.243716	0.853731	2.944126	4.767574	4.035136	6.261766	1.049263	2.019118
3.396379	0.852357	0.28422	1.965941	5.59514	9.461053	1.996575	2.518497	4.437535	3.007455	7.390369	4.239674	6.536749	4.452551	0.396702	0.403835
0.230368	1.738641	5.666161	1.426763	4.606161	8.3401	3.971721	0.167713	9.657327	6.68295	0.294037	4.690535	2.16745	3.788564	4.402885	2.401816
3.497232	0.446956	1.107571	1.050211	6.983916	3.842314	0.282289	2.346866	6.136971	0.240395	1.339849	5.322848	0.600482	5.278623	1.443363	5.666388
1.524864	1.344269	2.272828	0.477831	2.894755	0.387157	1.603311	1.149133	0.209706	0.534332	1.750459	0.567328	1.74283	0.708065	0.717964	1.540617
2.667445	0.526355	1.705099	4.914171	7.040815	1.396944	0.497558	4.622828	2.43108	1.013195	2.784288	3.316125	3.015023	1.441061	1.904353	1.736729
4.416497	7.67732	2.108559	1.527657	3.699848	4.182114	3.054868	4.528726	3.247725	2.407058	0.731509	3.732592	1.162449	0.016566	0.177675	0.780691
