DefaultA-ContA	DefaultA-ContB	DefaultA-ContC	DefaultA-DefaultB	DefaultA-DefaultC	DefaultA-DorsAttnA	DefaultA-DorsAttnB	DefaultA-LimbicA	DefaultA-LimbicB	DefaultA-SalVentAttnA	DefaultA-SalVentAttnB	DefaultA-SomMotA	DefaultA-SomMotB	DefaultA-TempPar	DefaultA-VisCent	DefaultA-VisPeri
7.525269	1.597614	7.938606	0.901022	0.273054	3.845213	0.359823	1.492752	9.285705	1.752494	0.745612	1.325213	3.086359	11.182407	2.700487	1.003111
1.480787	2.464914	6.523102	4.001782	1.512988	0.942723	0.015626	3.143893	1.649365	3.348463	2.068201	9.378622	0.363576	0.097567	2.946303	1.872281
5.000682	2.554728	23.446963	10.530142	1.575747	4.960907	4.669253	6.32342	17.577373	1.102543	10.729391	0.246015	1.543072	0.860415	8.950221	0.768088
5.596609	3.312852	4.235777	8.596431	1.067192	8.129055	1.287965	2.112849	5.748855	2.512362	0.177691	4.218793	4.09689	0.08693	1.125435	9.668595
0.678237	2.753229	15.81078	13.208587	9.098363	1.285947	2.935735	1.071611	6.3514	0.080291	0.399641	1.852142	0.461191	11.45222	1.490547	0.592359
6.430927	0.563496	9.718458	1.358142	0.41044	1.199297	1.444058	21.774412	8.181137	0.258531	8.168763	8.096433	2.903206	0.190899	1.301784	6.575865
8.500955	2.534001	8.971012	3.414526	0.353891	0.121482	4.28156	19.307078	24.814074	2.829184	18.284464	8.615876	2.047845	3.759977	2.2383	6.652142
16.689266	11.882218	6.531603	27.774861	12.635967	0.923482	5.617866	20.434184	16.610928	1.474382	9.472957	1.861955	2.470019	3.565317	20.537268	2.020321
6.779989	4.530527	27.136017	26.007212	2.298349	2.391757	0.896455	14.963427	22.456347	4.120952	1.63199	14.969342	9.031378	2.181637	0.409608	5.724259
0.13335	2.538868	3.027665	2.692524	4.975614	4.996016	0.32837	9.884994	22.086809	1.692717	5.093339	2.376622	1.312116	11.838739	1.399212	0.339369
0.099442	0.649691	23.937202	2.527353	2.715563	0.961368	3.975306	0.297438	2.665193	0.456241	1.718785	2.770819	2.357224	3.889706	1.311591	2.197325
4.810191	0.552733	23.875581	24.63794	0.0225	3.716565	0.055627	14.307055	12.044381	0.834635	2.877548	0.364956	2.232489	1.398227	1.15262	0.125975
3.29756	0.931305	7.378741	0.71972	0.304582	6.54915	2.121342	3.212608	9.304409	3.980027	7.722694	2.03024	2.039852	1.143186	0.532802	1.653784
0.131096	0.788537	24.053144	5.710705	2.499484	3.38626	4.392776	5.84667	24.831902	0.05375	6.631348	1.521707	2.390256	3.317877	0.663869	0.955175
0.233425	0.065082	7.87149	5.285532	0.752677	0.898223	0.337711	1.908725	1.533299	3.174603	0.048545	2.554155	4.60869	1.100918	0.186782	1.114074
1.576449	1.762075	15.972178	13.827168	0.728417	9.157876	4.162633	1.166567	18.355926	4.368648	12.260973	8.440654	9.964787	0.402899	8.662489	4.598276
0.341571	0.467865	22.298217	18.861174	7.007126	2.09823	1.422444	2.559403	12.701085	2.946621	4.780538	10.415071	8.109681	6.827059	4.042675	11.199787
2.247779	3.230292	20.272792	8.106479	5.940458	2.184737	3.057218	10.767342	7.168168	1.220793	2.044603	0.565435	1.279515	0.270031	3.650837	0.710664
5.587837	1.547457	19.168376	2.999461	0.159866	5.715124	2.318631	4.398914	8.450016	3.149648	5.330379	3.537571	1.211658	9.76671	1.672517	1.232227
15.152227	11.931755	36.489058	30.68594	6.417711	6.281712	7.370854	41.390192	34.80563	0.263465	11.106894	0.52017	1.900815	3.235112	13.501268	0.051893
1.03748	0.490163	3.266382	5.446264	2.026718	5.038758	0.141045	4.526681	6.192396	0.083207	2.034031	1.229908	2.959842	1.295743	0.20797	2.66863
