ContB-ContA	ContB-ContC	ContB-DefaultA	ContB-DefaultB	ContB-DefaultC	ContB-DorsAttnA	ContB-DorsAttnB	ContB-LimbicA	ContB-LimbicB	ContB-SalVentAttnA	ContB-SalVentAttnB	ContB-SomMotA	ContB-SomMotB	ContB-TempPar	ContB-VisCent	ContB-VisPeri
6.910193	0.341038	2.447481	9.524249	7.398178	0.566325	5.989785	2.841412	2.669589	2.771817	3.594371	1.612943	6.704711	3.44548	2.092011	3.252719
1.55002	2.568525	0.569724	4.956311	0.630611	3.952144	1.168437	0.575449	0.124302	10.159842	0.662867	0.108332	3.732502	0.708392	0.250911	3.413366
1.324908	5.796448	3.088608	5.948776	0.209448	2.742	0.745736	4.300096	1.677175	7.505413	0.516688	3.440878	1.136655	3.489416	1.209723	0.450369
6.775807	5.137318	3.405818	13.684577	17.789892	2.197182	0.329516	4.063429	9.218918	0.72304	10.654895	12.597121	2.662345	5.681275	5.198386	6.023959
0.038918	0.62269	3.265003	4.079139	1.775569	0.819466	0.610162	2.01764	0.430858	1.294274	0.098925	6.523749	0.021192	1.577366	2.221434	4.46238
2.359306	1.518755	0.974775	1.268841	2.828104	0.063957	2.80766	4.794032	1.441342	0.138378	0.063168	5.320968	1.529085	0.268103	0.584204	5.980648
8.169888	8.836891	8.086287	19.387374	3.786219	12.437375	3.563475	3.765174	4.895057	8.611573	6.174195	4.013372	0.470034	1.572261	3.232189	0.972751
10.025082	12.36401	3.115432	1.553821	6.27753	1.70651	11.645078	26.220885	10.089043	6.819954	10.953814	2.550409	1.257695	0.436117	6.350522	1.681069
1.173238	2.982092	2.288692	0.476828	2.061165	1.244732	0.641118	0.38042	2.119123	1.432426	0.93758	1.395686	2.155232	6.042747	0.901642	0.419234
6.787274	7.379312	1.183518	2.096418	1.089472	1.765583	1.728435	5.234007	2.814707	0.070308	4.254209	5.729593	1.397271	2.445733	0.037882	0.204927
2.102267	10.522581	11.08006	4.191099	1.736575	5.972593	1.06116	3.009857	9.80661	0.830818	3.877184	1.700649	2.544822	0.092566	1.2871	0.10326
0.134822	5.928415	0.49056	5.398386	2.748903	0.924664	1.459161	0.486366	1.626802	0.307186	0.483934	4.534267	0.461986	8.125675	0.160833	2.379833
8.694682	8.696956	3.508559	5.411814	0.352118	0.438375	1.52985	1.934132	4.562531	0.50761	1.42425	10.680768	0.462326	0.370703	0.309181	1.329407
7.426326	4.138837	4.168247	3.266441	1.731836	0.209216	0.927834	2.057283	3.047982	0.811615	2.920784	6.466735	0.611991	3.138554	0.000138	1.863604
6.351983	0.251346	0.863136	3.221516	3.414507	0.038602	0.914867	7.791387	0.451479	3.170609	0.689965	0.515034	0.047218	2.950332	0.109739	0.090835
6.622066	3.13536	1.242211	3.157402	0.545734	3.654396	0.089458	7.04889	0.982301	6.5406	0.91528	9.623993	7.673281	2.068351	2.080736	3.605685
4.810429	1.050071	0.677248	3.105399	1.294479	1.10938	1.599338	7.661663	3.578232	0.410671	0.59435	6.703829	3.508726	0.410163	1.717878	7.656745
13.217089	2.833421	1.034955	4.86013	1.837533	2.76283	6.6732	6.953686	3.076615	3.250292	1.444117	7.66275	2.130145	0.201588	0.158061	16.335261
17.510237	19.512704	10.314441	18.258427	1.254756	5.462115	0.173018	26.223746	22.29372	11.82819	4.11689	8.866592	7.950949	3.426285	2.034211	17.278192
6.067437	7.313126	5.094643	3.947179	1.247019	1.422935	9.309515	3.918088	7.64038	2.228119	4.744456	7.199103	1.825253	2.201283	0.298985	4.454388
5.906156	6.560667	12.105042	16.520708	4.991043	8.565194	0.417256	10.188712	4.670764	0.64672	2.82113	12.345607	22.206721	0.889628	0.37095	3.744052
3.821553	9.509805	3.565199	0.056244	0.933155	2.166905	1.577319	3.502735	6.472904	2.235331	3.03229	4.258184	2.470091	0.206303	2.490489	2.57819
2.161879	10.362063	6.637876	5.089364	4.071137	2.7084	0.353214	5.666471	3.591539	0.012037	3.450898	2.245599	0.725842	0.623151	1.962204	2.089824
6.530453	3.519733	1.478244	0.886903	9.421689	10.455712	0.325225	6.172939	1.006962	4.89594	4.132009	2.599687	7.551404	10.685716	9.947477	0.794565
7.393856	0.079511	2.100646	2.355269	0.95565	0.440912	2.596792	11.718799	0.018682	9.084782	0.074822	1.465216	0.038471	4.88254	1.965033	0.28917
5.030075	1.97091	2.003583	1.365311	2.081483	0.419707	3.752789	2.967993	1.827635	0.602124	3.797594	14.23586	1.577762	0.164555	4.724709	4.14212
7.175037	4.200561	8.490863	4.575114	0.751325	4.569639	6.657876	13.219206	13.480383	0.422056	8.749365	13.638199	1.271757	0.603722	3.766136	5.029921
2.235763	1.091806	3.841855	9.353501	5.125479	5.006489	0.487671	1.710587	8.115564	0.136348	5.26171	6.724507	4.392721	1.794481	5.051713	2.786008
21.164043	3.862681	1.494149	1.324254	0.337638	1.506763	0.460855	17.848832	2.608616	1.463891	5.997559	12.191433	0.0886	0.61887	2.131727	2.089602
6.548074	0.201072	1.442514	1.495987	2.4687	0.212419	6.07207	14.850579	2.539277	1.495283	2.936685	4.688824	3.382314	4.506475	4.465171	3.726677
3.501789	2.150972	2.705448	9.811501	3.116523	0.404574	0.681226	1.823893	6.945687	1.836062	3.844932	0.492026	2.33224	0.154175	0.322521	2.629132
1.397463	0.25082	0.297978	0.749849	1.877232	3.515304	1.142644	0.799789	1.406951	3.161265	1.157266	6.762357	2.845725	1.745088	7.021399	1.14443
5.386389	1.769099	1.089669	0.235179	0.03391	3.248319	0.353583	14.924649	2.584028	5.650347	0.337458	2.113958	4.617817	1.530141	0.025702	0.09874
